method,pair_type,frame_index,stamp_sec,bag_time_sec,delta_time_sec,orb_slam_tracking_ok,keypoints_a,keypoints_b,matches,ransac_inliers,ransac_inlier_ratio,strict_inliers,strict_inlier_ratio,strict_grid_coverage,match_latency_ms,median_vertical_error_px,median_disparity_px,rectified_inliers,rectified_inlier_ratio
xfeat,stereo,0,2569.011476808,1780624744.9005826,0.0,,1024,1024,558,375,0.6720430107526881,345,0.6182795698924731,0.7291666666666666,3.669713012641296,1.0,4.0,409,0.7329749103942652
orb,stereo,0,2569.011476808,1780624744.9005826,0.0,,957,927,562,500,0.8896797153024911,498,0.8861209964412812,0.4791666666666667,3.5358490131329745,0.0,1.727996826171875,515,0.9163701067615658
xfeat,stereo,1,2569.101470849,1780624745.0017073,0.0,,1024,1024,551,384,0.6969147005444646,366,0.6642468239564429,0.7083333333333334,3.1637240026611835,1.0,4.0,411,0.7459165154264973
xfeat,temporal,1,2569.101470849,1780624745.0017073,0.08999404099995445,,1024,1024,758,690,0.9102902374670184,690,0.9102902374670184,0.8125,3.0998290167190135,0.0,nan,0,0.0
orb,stereo,1,2569.101470849,1780624745.0017073,0.0,,957,923,567,504,0.8888888888888888,500,0.8818342151675485,0.4583333333333333,2.5393019896000624,0.0,1.7280044555664062,521,0.9188712522045855
orb,temporal,1,2569.101470849,1780624745.0017073,0.08999404099995445,,957,957,814,810,0.995085995085995,810,0.995085995085995,0.5416666666666666,2.656127995578572,0.0,nan,0,0.0
xfeat,stereo,10,2570.001461725,1780624745.9198873,0.0,,1024,1024,556,405,0.7284172661870504,380,0.6834532374100719,0.7291666666666666,2.953813993372023,1.0,4.0,429,0.7715827338129496
orb,stereo,10,2570.001461725,1780624745.9198873,0.0,,948,926,557,498,0.8940754039497307,496,0.8904847396768402,0.4583333333333333,2.745511010289192,0.0,1.727996826171875,513,0.9210053859964094
xfeat,stereo,11,2570.181473058,1780624746.022175,0.0,,1024,1024,551,391,0.7096188747731398,364,0.6606170598911071,0.6875,5.417350999778137,1.0,3.0,403,0.7313974591651543
xfeat,temporal,11,2570.181473058,1780624746.022175,0.18001133300003858,,1024,1024,742,661,0.8908355795148248,661,0.8908355795148248,0.7708333333333334,3.555889008566737,0.0,nan,0,0.0
orb,stereo,11,2570.181473058,1780624746.022175,0.0,,962,921,555,494,0.8900900900900901,492,0.8864864864864865,0.4583333333333333,2.780356997391209,0.0,1.727996826171875,511,0.9207207207207208
orb,temporal,11,2570.181473058,1780624746.022175,0.18001133300003858,,948,962,813,803,0.9876998769987699,803,0.9876998769987699,0.5625,2.666882995981723,0.0,nan,0,0.0
xfeat,stereo,20,2571.081465434,1780624746.941723,0.0,,1024,1024,576,416,0.7222222222222222,386,0.6701388888888888,0.6666666666666666,4.392385017126799,1.0,4.0,445,0.7725694444444444
orb,stereo,20,2571.081465434,1780624746.941723,0.0,,938,910,570,515,0.9035087719298246,501,0.8789473684210526,0.375,2.639648999320343,0.0,1.727996826171875,533,0.9350877192982456
xfeat,stereo,21,2571.171462517,1780624747.0435407,0.0,True,1024,1024,580,369,0.6362068965517241,341,0.5879310344827586,0.5833333333333334,4.333587014116347,1.0,3.0,442,0.7620689655172413
xfeat,temporal,21,2571.171462517,1780624747.0435407,0.0899970829996164,True,1024,1024,758,687,0.9063324538258575,687,0.9063324538258575,0.7083333333333334,3.210021008271724,0.0,nan,0,0.0
orb,stereo,21,2571.171462517,1780624747.0435407,0.0,True,951,914,565,510,0.9026548672566371,505,0.8938053097345132,0.4791666666666667,3.1317419779952615,0.0,1.727996826171875,520,0.9203539823008849
orb,temporal,21,2571.171462517,1780624747.0435407,0.0899970829996164,True,938,951,811,808,0.9963008631319359,808,0.9963008631319359,0.5,3.66252101957798,0.0,nan,0,0.0
xfeat,stereo,30,2572.071470309,1780624747.96653,0.0,True,1024,1024,595,388,0.6521008403361345,353,0.5932773109243697,0.5625,4.367246001493186,1.0,3.0,447,0.7512605042016807
orb,stereo,30,2572.071470309,1780624747.96653,0.0,True,954,900,567,510,0.8994708994708994,504,0.8888888888888888,0.4375,3.207506990293041,0.0,1.727996826171875,522,0.9206349206349206
xfeat,stereo,31,2572.161479393,1780624748.0692832,0.0,True,1024,1024,593,387,0.6526138279932546,353,0.5952782462057336,0.5416666666666666,3.509661997668445,1.0,3.0,464,0.7824620573355818
xfeat,temporal,31,2572.161479393,1780624748.0692832,0.09000908400003027,True,1024,1024,759,688,0.9064558629776021,688,0.9064558629776021,0.75,3.3599460148252547,0.0,nan,0,0.0
orb,stereo,31,2572.161479393,1780624748.0692832,0.0,True,952,910,570,513,0.9,509,0.8929824561403509,0.4375,3.521393984556198,0.0,1.727996826171875,526,0.9228070175438596
orb,temporal,31,2572.161479393,1780624748.0692832,0.09000908400003027,True,954,952,824,818,0.9927184466019418,818,0.9927184466019418,0.4791666666666667,3.896381997037679,0.0,nan,0,0.0
xfeat,stereo,40,2573.151513851,1780624748.990015,0.0,True,1024,1024,580,394,0.6793103448275862,364,0.6275862068965518,0.6875,3.465110989054665,1.0,3.0,443,0.7637931034482759
orb,stereo,40,2573.151513851,1780624748.990015,0.0,True,959,912,577,519,0.8994800693240901,514,0.8908145580589255,0.4791666666666667,2.577359991846606,0.0,1.727996826171875,528,0.9150779896013865
xfeat,stereo,41,2573.24148281,1780624749.0921774,0.0,True,1024,1024,607,451,0.742998352553542,416,0.685337726523888,0.625,3.544087987393141,1.0,3.0,464,0.7644151565074135
xfeat,temporal,41,2573.24148281,1780624749.0921774,0.08996895900008894,True,1024,1024,763,683,0.8951507208387942,683,0.8951507208387942,0.7708333333333334,2.886079018935561,0.0,nan,0,0.0
orb,stereo,41,2573.24148281,1780624749.0921774,0.0,True,956,919,563,503,0.8934280639431617,501,0.8898756660746003,0.4791666666666667,2.8537480102386326,0.0,1.727996826171875,521,0.9253996447602132
orb,temporal,41,2573.24148281,1780624749.0921774,0.08996895900008894,True,959,956,814,807,0.9914004914004914,807,0.9914004914004914,0.5208333333333334,3.2829239789862186,0.0,nan,0,0.0
xfeat,stereo,50,2574.141488394,1780624750.010516,0.0,True,1024,1024,602,441,0.7325581395348837,405,0.6727574750830565,0.6666666666666666,3.3376009960193187,1.0,3.0,439,0.729235880398671
orb,stereo,50,2574.141488394,1780624750.010516,0.0,True,959,908,571,515,0.9019264448336253,510,0.8931698774080561,0.4791666666666667,2.849069016519934,0.0,1.727996826171875,527,0.9229422066549913
xfeat,stereo,51,2574.231483935,1780624750.1136143,0.0,True,1024,1024,580,439,0.756896551724138,407,0.7017241379310345,0.6458333333333334,2.7732330199796706,0.0,3.0,447,0.7706896551724138
xfeat,temporal,51,2574.231483935,1780624750.1136143,0.0899955410000075,True,1024,1024,756,684,0.9047619047619048,684,0.9047619047619048,0.7708333333333334,3.760700987186283,0.0,nan,0,0.0
orb,stereo,51,2574.231483935,1780624750.1136143,0.0,True,955,909,575,520,0.9043478260869565,518,0.9008695652173913,0.4791666666666667,2.9479490185622126,0.0,1.727996826171875,542,0.9426086956521739
orb,temporal,51,2574.231483935,1780624750.1136143,0.0899955410000075,True,959,955,822,817,0.9939172749391727,817,0.9939172749391727,0.5208333333333334,2.9020000074524432,0.0,nan,0,0.0
xfeat,stereo,60,2575.131484561,1780624751.032343,0.0,True,1024,1024,599,462,0.7712854757929883,424,0.7078464106844741,0.6041666666666666,2.822114998707548,1.0,4.0,471,0.7863105175292153
orb,stereo,60,2575.131484561,1780624751.032343,0.0,True,953,903,575,492,0.8556521739130435,487,0.8469565217391304,0.3958333333333333,2.2080290073063225,0.0,1.727996826171875,532,0.9252173913043479
xfeat,stereo,61,2575.221484144,1780624751.1353521,0.0,True,1024,1024,607,425,0.700164744645799,385,0.6342668863261944,0.6041666666666666,4.150842025410384,1.0,3.0,440,0.7248764415156508
xfeat,temporal,61,2575.221484144,1780624751.1353521,0.08999958300000799,True,1024,1024,774,700,0.9043927648578811,700,0.9043927648578811,0.7083333333333334,2.7573819970712066,0.0,nan,0,0.0
orb,stereo,61,2575.221484144,1780624751.1353521,0.0,True,962,924,587,538,0.9165247018739353,536,0.9131175468483816,0.5,2.817644999595359,0.0,1.727996826171875,545,0.9284497444633731
orb,temporal,61,2575.221484144,1780624751.1353521,0.08999958300000799,True,953,962,829,819,0.9879372738238842,819,0.9879372738238842,0.5208333333333334,2.9323759954422712,0.0,nan,0,0.0
xfeat,stereo,70,2576.211494853,1780624752.0543845,0.0,True,1024,1024,586,419,0.7150170648464164,386,0.658703071672355,0.6458333333333334,3.001717006554827,1.0,3.0,455,0.7764505119453925
orb,stereo,70,2576.211494853,1780624752.0543845,0.0,True,959,899,578,524,0.9065743944636678,521,0.9013840830449827,0.4791666666666667,2.935588010586798,0.0,1.727996826171875,537,0.9290657439446367
xfeat,stereo,71,2576.301492853,1780624752.1564114,0.0,True,1024,1024,596,447,0.75,404,0.6778523489932886,0.6875,2.9844699893146753,1.0,3.0,438,0.7348993288590604
xfeat,temporal,71,2576.301492853,1780624752.1564114,0.0899979999999232,True,1024,1024,768,688,0.8958333333333334,688,0.8958333333333334,0.7291666666666666,3.1426350178662688,0.0,nan,0,0.0
orb,stereo,71,2576.301492853,1780624752.1564114,0.0,True,950,910,589,527,0.8947368421052632,523,0.8879456706281834,0.4791666666666667,2.9128940077498555,0.0,1.727996826171875,537,0.9117147707979627
orb,temporal,71,2576.301492853,1780624752.1564114,0.0899979999999232,True,959,950,816,804,0.9852941176470589,804,0.9852941176470589,0.5208333333333334,3.5190900089219213,0.0,nan,0,0.0
xfeat,stereo,80,2577.201491645,1780624753.0750167,0.0,True,1024,1024,589,416,0.7062818336162988,386,0.6553480475382003,0.6458333333333334,4.550131008727476,1.0,3.0,448,0.7606112054329371
orb,stereo,80,2577.201491645,1780624753.0750167,0.0,True,956,911,572,511,0.8933566433566433,507,0.8863636363636364,0.4791666666666667,2.5970519927795976,0.0,1.727996826171875,527,0.9213286713286714
xfeat,stereo,81,2577.29148402,1780624753.1781132,0.0,True,1024,1024,587,399,0.6797274275979557,368,0.626916524701874,0.5833333333333334,3.187744994647801,1.0,3.0,442,0.7529812606473595
xfeat,temporal,81,2577.29148402,1780624753.1781132,0.08999237500029267,True,1024,1024,756,692,0.9153439153439153,692,0.9153439153439153,0.7291666666666666,3.3434659999329597,0.0,nan,0,0.0
orb,stereo,81,2577.29148402,1780624753.1781132,0.0,True,954,914,571,509,0.8914185639229422,506,0.8861646234676007,0.4791666666666667,2.5427239888813347,0.0,1.727996826171875,521,0.9124343257443083
orb,temporal,81,2577.29148402,1780624753.1781132,0.08999237500029267,True,956,954,826,823,0.9963680387409201,823,0.9963680387409201,0.5208333333333334,2.4010390043258667,0.0,nan,0,0.0
xfeat,stereo,90,2578.191503937,1780624754.096607,0.0,True,1024,1024,607,434,0.71499176276771,401,0.6606260296540363,0.6666666666666666,4.509070975473151,0.0,3.0,456,0.7512355848434926
orb,stereo,90,2578.191503937,1780624754.096607,0.0,True,958,914,566,491,0.8674911660777385,486,0.8586572438162544,0.375,2.7060570137109607,0.0,1.727996826171875,522,0.9222614840989399
xfeat,stereo,91,2578.28150127,1780624754.1985803,0.0,True,1024,1024,597,422,0.7068676716917923,387,0.6482412060301508,0.6666666666666666,4.664791980758309,0.0,4.0,453,0.7587939698492462
xfeat,temporal,91,2578.28150127,1780624754.1985803,0.08999733299970103,True,1024,1024,758,687,0.9063324538258575,687,0.9063324538258575,0.7708333333333334,3.4504460054449737,0.0,nan,0,0.0
orb,stereo,91,2578.28150127,1780624754.1985803,0.0,True,957,895,564,499,0.8847517730496454,493,0.874113475177305,0.4791666666666667,2.883775014197454,0.0,1.727996826171875,509,0.9024822695035462
orb,temporal,91,2578.28150127,1780624754.1985803,0.08999733299970103,True,958,957,823,815,0.9902794653705954,815,0.9902794653705954,0.5208333333333334,2.3968489840626717,0.0,nan,0,0.0
xfeat,stereo,100,2579.271529354,1780624755.1154242,0.0,True,1024,1024,600,402,0.67,372,0.62,0.6458333333333334,3.833813010714948,1.0,3.0,463,0.7716666666666666
orb,stereo,100,2579.271529354,1780624755.1154242,0.0,True,951,901,558,506,0.9068100358422939,506,0.9068100358422939,0.5,2.8774899838026613,0.0,1.727996826171875,522,0.9354838709677419
xfeat,stereo,101,2579.361495313,1780624755.217412,0.0,True,1024,1024,589,434,0.7368421052631579,396,0.6723259762308998,0.6458333333333334,3.9352070016320795,1.0,3.0,441,0.7487266553480475
xfeat,temporal,101,2579.361495313,1780624755.217412,0.08996595899998283,True,1024,1024,765,686,0.8967320261437909,686,0.8967320261437909,0.7291666666666666,3.35533800534904,0.0,nan,0,0.0
orb,stereo,101,2579.361495313,1780624755.217412,0.0,True,958,909,566,510,0.901060070671378,507,0.8957597173144877,0.4583333333333333,2.227581018814817,0.0,1.727996826171875,524,0.9257950530035336
orb,temporal,101,2579.361495313,1780624755.217412,0.08996595899998283,True,951,958,814,802,0.9852579852579852,802,0.9852579852579852,0.5208333333333334,3.252826980315149,0.0,nan,0,0.0
xfeat,stereo,110,2580.26150323,1780624756.1434302,0.0,True,1024,1024,613,389,0.634584013050571,365,0.5954323001631321,0.6041666666666666,3.56035798904486,1.0,10.0,485,0.7911908646003263
orb,stereo,110,2580.26150323,1780624756.1434302,0.0,True,954,902,592,538,0.9087837837837838,531,0.8969594594594594,0.4375,3.1788769992999732,0.0,1.727996826171875,543,0.9172297297297297
