frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px
0,2569011476808,-1,xfeat_guided,stereo,45.517884,28.120712,4.729436,3.633534,15.072521,0.001167,16.875286,16.100624,8.840475,8.385054,1024,1024,45.811122,2.237851,3.137483,51.186456,512,435,435,0.849609,0.708333,0.000000,7.000000
0,2569011476808,-1,orb_cpu,stereo,66.141131,68.156793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,957,927,68.448906,38.736116,2.702105,109.887127,562,500,498,0.886121,0.479167,0.000000,1.727997
1,2569101470849,-1,xfeat_guided,stereo,46.021643,29.521479,3.993862,3.879933,17.210612,0.000875,18.256300,17.184525,6.560328,8.455729,1024,1024,46.305963,3.738710,11.912368,61.957041,512,408,408,0.796875,0.687500,0.000000,8.000000
1,2569101470849,-1,orb_cpu,stereo,72.939901,74.581775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,957,923,74.881805,30.059533,2.250727,107.192065,567,504,500,0.881834,0.458333,0.000000,1.728004
1,2569101470849,-1,xfeat_guided,temporal,45.517884,46.021643,4.729436,3.993862,15.072521,17.210612,16.875286,18.256300,8.840475,6.560328,1024,1024,91.539527,6.665464,1.774220,99.979211,512,476,476,0.929688,0.791667,0.000000,nan
1,2569101470849,-1,orb_cpu,temporal,66.141131,72.939901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,957,957,139.081032,24.712534,0.745659,164.539225,814,811,811,0.996314,0.541667,0.000000,nan
10,2570001461725,-1,xfeat_guided,stereo,31.178174,47.973069,4.580419,4.539372,0.000875,19.323775,19.289021,17.999266,7.307567,6.110364,1024,1024,48.287518,2.614555,5.964766,56.866839,512,404,404,0.789062,0.750000,0.000000,6.000000
10,2570001461725,-1,orb_cpu,stereo,70.811114,71.781629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,948,926,72.288470,23.865856,1.998826,98.153152,557,498,496,0.890485,0.458333,0.000000,1.727997
11,2570181473058,-1,xfeat_guided,stereo,27.639193,44.648694,3.965023,3.922811,0.000917,17.502050,17.482965,15.994899,6.190080,7.228601,1024,1024,44.954266,2.579009,7.872124,55.405399,512,432,432,0.843750,0.729167,0.000000,6.000000
11,2570181473058,-1,orb_cpu,stereo,71.825966,72.756435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,962,921,73.013085,30.684416,2.103086,105.800587,555,494,492,0.886486,0.458333,0.000000,1.727997
11,2570181473058,-1,xfeat_guided,temporal,31.178174,27.639193,4.580419,3.965023,0.000875,0.000917,19.289021,17.482965,7.307567,6.190080,1024,1024,58.817367,5.463632,1.557699,65.838698,512,474,474,0.925781,0.770833,0.000000,nan
11,2570181473058,-1,orb_cpu,temporal,70.811114,71.825966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,948,962,142.637080,23.470525,0.787454,166.895059,813,801,801,0.985240,0.562500,0.000000,nan
20,2571081465434,-1,xfeat_guided,stereo,27.852286,44.353604,3.926434,3.883555,0.001250,17.815324,17.781904,15.944220,6.142364,6.710338,1024,1024,44.657301,2.289813,6.183493,53.130607,512,421,421,0.822266,0.687500,0.000000,5.000000
20,2571081465434,-1,orb_cpu,stereo,67.499003,69.322144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,938,910,69.621923,35.929469,1.698836,107.250228,570,525,520,0.912281,0.458333,0.000000,1.727997
21,2571171462517,-1,xfeat_guided,stereo,27.499668,44.611547,4.624921,4.574500,0.000917,15.902633,15.877796,16.636664,6.995909,7.497417,1024,1024,44.965248,2.300938,7.145965,54.412151,512,413,413,0.806641,0.625000,0.000000,6.000000
21,2571171462517,-1,orb_cpu,stereo,65.860256,67.452081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,951,914,67.724108,35.699530,2.268018,105.691656,565,510,505,0.893805,0.479167,0.000000,1.727997
21,2571171462517,-1,xfeat_guided,temporal,27.852286,27.499668,3.926434,4.624921,0.001250,0.000917,17.781904,15.877796,6.142364,6.995909,1024,1024,55.351954,6.844476,2.227931,64.424361,512,459,459,0.896484,0.687500,0.000000,nan
21,2571171462517,-1,orb_cpu,temporal,67.499003,65.860256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,938,951,133.359259,22.884956,0.683276,156.927491,811,806,806,0.993835,0.500000,0.000000,nan
