frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,frontend_ms,track_total_ms
0,2569011476808,2,607,169,0.278418,0.6875,169,63.097583,8.463536,71.561119,79.556573
1,2569101470849,2,604,170,0.281457,0.708333,134,59.622836,15.115698,74.738534,103.426224
2,2569191465849,2,604,156,0.258278,0.687500,131,61.305668,7.148621,68.454289,94.054563
3,2569371464141,2,606,158,0.260726,0.687500,126,59.656003,8.201745,67.857748,93.913188
4,2569461529016,2,602,168,0.279070,0.750000,126,56.975629,8.552703,65.528332,89.637525
5,2569551461141,2,604,157,0.259934,0.708333,139,59.583544,7.820370,67.403914,93.475189
6,2569641461516,2,604,175,0.289735,0.708333,130,58.334086,7.197579,65.531665,93.569022
7,2569731464350,2,604,161,0.266556,0.708333,125,58.715086,8.144036,66.859122,81.534030
8,2569821457141,2,604,162,0.268212,0.708333,128,63.477333,10.245660,73.722993,95.372729
9,2569911460433,2,605,166,0.274380,0.687500,133,62.792125,12.565867,75.357992,96.115020
10,2570001461725,2,607,157,0.258649,0.729167,132,56.623921,11.675742,68.299663,89.464775
11,2570181473058,2,606,163,0.268977,0.687500,134,64.049750,15.503782,79.553532,104.355889
12,2570271470767,2,603,159,0.263682,0.729167,138,66.032124,14.947407,80.979531,107.923012
13,2570361465975,2,609,156,0.256158,0.708333,119,57.168296,14.991157,72.159453,98.336811
14,2570451459767,2,601,164,0.272879,0.729167,134,58.641336,8.362161,67.003497,80.706781
15,2570541463475,2,604,192,0.317881,0.687500,133,66.180499,11.818367,77.998866,102.234224
16,2570631468559,2,604,166,0.274834,0.687500,130,65.047665,8.350953,73.398618,89.496024
17,2570721464559,2,603,172,0.285240,0.708333,140,58.413336,16.169323,74.582659,100.844684
18,2570811468850,2,604,178,0.294702,0.729167,136,61.331293,12.541491,73.872784,101.001309
19,2570991474350,2,603,156,0.258706,0.750000,125,59.100170,14.846282,73.946452,99.734059
20,2571081465434,2,602,165,0.274086,0.729167,123,60.630377,15.466948,76.097325,99.165102
21,2571171462517,2,605,163,0.269421,0.729167,135,56.380671,7.882911,64.263582,83.728195
22,2571261467517,2,603,154,0.255390,0.770833,135,67.161831,14.351365,81.513196,105.845389
23,2571351467392,2,603,159,0.263682,0.729167,133,58.171337,14.370115,72.541452,95.682771
24,2571441479059,2,604,155,0.256623,0.666667,129,65.090082,14.578073,79.668155,105.006181
25,2571531472601,2,605,161,0.266116,0.729167,129,57.823587,10.043826,67.867413,89.740983
26,2571711482392,2,607,146,0.240527,0.645833,130,57.836462,13.462199,71.298661,90.348024
27,2571801474351,2,604,157,0.259934,0.729167,123,65.135457,14.536074,79.671531,102.525474
28,2571891471934,2,607,175,0.288303,0.729167,126,61.407418,15.413282,76.820700,98.470769
29,2571981474059,2,603,169,0.280265,0.750000,127,64.264541,15.615198,79.879739,104.739139
30,2572071470309,2,603,165,0.273632,0.729167,118,59.164961,12.740533,71.905494,95.619062
31,2572161479393,2,605,150,0.247934,0.750000,121,61.256460,14.313990,75.570450,98.564810
32,2572251464934,2,604,155,0.256623,0.708333,124,64.254291,14.588366,78.842657,103.509140
33,2572431489934,2,607,162,0.266886,0.708333,118,58.576920,15.014782,73.591702,95.814103
