frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms,photometric_inliers,photometric_inlier_ratio,photometric_grid_coverage,patch_ncc_median,patch_ncc_p10,photometric_ms
0,2569011476808,-1,xfeat_star_coarse,stereo,41.974318,24.211254,5.594812,5.532145,16.914436,0.001000,17.831898,16.914395,1.632964,1.763339,600,600,42.231276,1.408588,0.441960,44.081824,334,334,334,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.502994,0.750000,0.520672,-0.389721,17.516855
0,2569011476808,-1,xfeat_star_fine,stereo,41.974318,24.211254,5.594812,5.532145,16.914436,0.001000,17.831898,16.914395,1.632964,1.763339,600,600,42.231276,1.408588,0.623211,57.882498,321,321,318,0.990654,0.958333,0.000000,1.627930,13.619423,0.390084,0.000833,10.573080,2.655217,183,0.570093,0.750000,0.637557,-0.091691,12.386711
0,2569011476808,-1,orb_cpu,stereo,66.283696,66.755948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,66.965324,10.241537,2.244217,79.451078,379,333,332,0.875989,0.354167,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,318,0.839050,0.354167,0.929630,0.575860,7.209359
1,2569101470849,-1,xfeat_star_coarse,stereo,22.309247,39.564184,4.452182,5.634520,0.001000,14.949429,16.180308,17.044019,1.675548,1.936049,600,600,39.924560,1.623256,0.344918,41.892734,335,335,335,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.501493,0.770833,0.519717,-0.323354,6.592232
1,2569101470849,-1,xfeat_star_fine,stereo,22.309247,39.564184,4.452182,5.634520,0.001000,14.949429,16.180308,17.044019,1.675548,1.936049,600,600,39.924560,1.623256,0.306542,53.049857,328,328,325,0.990854,0.979167,0.000000,1.562164,11.195499,0.377460,0.000750,9.711951,1.105171,192,0.585366,0.750000,0.626042,-0.082277,6.188481
1,2569101470849,-1,orb_cpu,stereo,70.300336,63.787312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,598,70.549795,10.097620,2.175508,82.822923,386,342,341,0.883420,0.333333,0.000000,1.728003,0.000000,0.000000,0.000000,0.000000,0.000000,322,0.834197,0.312500,0.934296,0.577358,7.419068
1,2569101470849,-1,xfeat_guided,temporal,41.974318,22.309247,5.594812,4.452182,16.914436,0.001000,17.831898,16.180308,1.632964,1.675548,600,600,64.283565,3.522137,0.675044,68.480746,384,383,383,0.997396,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
1,2569101470849,-1,orb_cpu,temporal,66.283696,70.300336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,136.584032,10.040911,0.673336,147.298279,519,517,517,0.996146,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
10,2570001461725,-1,xfeat_star_coarse,stereo,32.706076,47.909839,13.366423,13.189131,0.000958,17.651689,17.630564,15.426013,1.707964,1.642798,600,600,48.561883,1.667839,0.362043,50.591765,345,345,345,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160,0.463768,0.750000,0.464637,-0.340827,7.161234
10,2570001461725,-1,xfeat_star_fine,stereo,32.706076,47.909839,13.366423,13.189131,0.000958,17.651689,17.630564,15.426013,1.707964,1.642798,600,600,48.561883,1.667839,0.361376,64.453648,334,334,333,0.997006,0.979167,0.000000,1.649307,13.862550,0.378043,0.000875,12.086668,1.396714,181,0.541916,0.791667,0.584545,-0.094201,6.698066
