frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms,photometric_inliers,photometric_inlier_ratio,photometric_grid_coverage,patch_ncc_median,patch_ncc_p10,photometric_ms
0,2569011476808,-1,xfeat_star_coarse,stereo,41.833354,24.246821,5.872581,5.820330,16.586450,0.001166,17.864616,16.565450,1.509374,1.859541,600,600,42.107853,4.239540,1.834290,48.181683,308,308,308,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,151,0.490260,0.750000,0.499302,-0.413182,23.467613
0,2569011476808,-1,xfeat_star_fine,stereo,41.833354,24.246821,5.872581,5.820330,16.586450,0.001166,17.864616,16.565450,1.509374,1.859541,600,600,42.107853,4.239540,0.295791,58.168387,279,279,278,0.996416,0.958333,0.000000,1.622589,11.525203,0.877958,0.001250,9.614578,1.030750,165,0.591398,0.750000,0.653247,-0.130327,19.182282
0,2569011476808,-1,orb_cpu,stereo,68.064382,63.066134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,68.278465,21.466406,4.388081,94.132952,379,333,332,0.875989,0.354167,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,318,0.839050,0.354167,0.929630,0.575860,8.749287
1,2569101470849,-1,xfeat_star_coarse,stereo,22.166613,39.201647,4.458081,5.592247,0.001583,14.864825,16.053033,16.959534,1.653666,1.784374,600,600,39.626939,1.379791,0.227792,41.234522,306,306,306,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,152,0.496732,0.770833,0.517428,-0.316253,8.322912
1,2569101470849,-1,xfeat_star_fine,stereo,22.166613,39.201647,4.458081,5.592247,0.001583,14.864825,16.053033,16.959534,1.653666,1.784374,600,600,39.626939,1.379791,0.286125,53.998849,289,289,286,0.989619,0.979167,0.000000,1.604744,12.705994,0.329208,0.001042,11.354411,1.021041,169,0.584775,0.750000,0.626042,-0.075399,8.739287
1,2569101470849,-1,orb_cpu,stereo,69.056965,63.370302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,598,69.275756,20.357823,2.924457,92.558036,386,342,341,0.883420,0.333333,0.000000,1.728003,0.000000,0.000000,0.000000,0.000000,0.000000,322,0.834197,0.312500,0.934296,0.577358,7.338955
1,2569101470849,-1,xfeat_guided,temporal,41.833354,22.166613,5.872581,4.458081,16.586450,0.001583,17.864616,16.053033,1.509374,1.653666,600,600,63.999967,3.600915,0.500833,68.101715,380,379,379,0.997368,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
1,2569101470849,-1,orb_cpu,temporal,68.064382,69.056965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,137.121347,11.350827,0.706792,149.178966,519,517,517,0.996146,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
10,2570001461725,-1,xfeat_star_coarse,stereo,21.673864,38.068314,3.972998,3.923623,0.001167,15.876159,15.854200,16.582908,1.845332,1.685458,600,600,38.392522,1.613958,0.349708,40.356188,315,315,315,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,146,0.463492,0.750000,0.464637,-0.341948,6.352039
10,2570001461725,-1,xfeat_star_fine,stereo,21.673864,38.068314,3.972998,3.923623,0.001167,15.876159,15.854200,16.582908,1.845332,1.685458,600,600,38.392522,1.613958,0.549125,51.164224,286,286,285,0.996503,0.979167,0.000000,1.621002,10.608619,0.261500,0.000584,9.295037,1.051207,160,0.559441,0.770833,0.607977,-0.064576,11.077119
10,2570001461725,-1,orb_cpu,stereo,63.159010,64.752884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,65.254842,10.679203,2.032332,77.966377,371,333,331,0.892183,0.312500,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,316,0.851752,0.312500,0.935809,0.614560,7.052205
11,2570181473058,-1,xfeat_star_coarse,stereo,23.182030,39.281688,3.949165,3.916456,0.001041,17.797324,17.785075,15.882158,1.446457,1.685583,600,600,39.619105,1.642915,0.340042,41.602062,309,309,309,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147,0.475728,0.750000,0.475085,-0.400407,5.534705
11,2570181473058,-1,xfeat_star_fine,stereo,23.182030,39.281688,3.949165,3.916456,0.001041,17.797324,17.785075,15.882158,1.446457,1.685583,600,600,39.619105,1.642915,0.349874,52.583805,292,292,290,0.993151,0.979167,0.000000,1.702751,10.971911,0.226708,0.000500,9.477495,1.267041,167,0.571918,0.770833,0.618467,-0.109465,5.823623
