frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,frontend_ms,track_total_ms
0,2569011476808,2,607,169,0.278418,0.6875,169,61.600615,7.793572,69.394187,76.996008
1,2569101470849,2,604,170,0.281457,0.708333,134,60.460402,11.660004,72.120406,102.818692
2,2569191465849,2,604,156,0.258278,0.687500,131,64.116374,8.265365,72.381739,98.333883
3,2569371464141,2,606,158,0.260726,0.687500,126,58.212769,8.252699,66.465468,92.560068
4,2569461529016,2,602,168,0.279070,0.750000,126,58.888937,8.646658,67.535595,91.654398
5,2569551461141,2,604,157,0.259934,0.708333,139,58.999688,7.813822,66.813510,93.634031
6,2569641461516,2,604,175,0.289735,0.708333,130,59.241980,8.584742,67.826722,95.296371
7,2569731464350,2,604,161,0.266556,0.708333,125,56.709345,8.247532,64.956877,80.186687
8,2569821457141,2,604,162,0.268212,0.708333,128,62.313034,14.849099,77.162133,96.642459
9,2569911460433,2,605,166,0.274380,0.687500,133,63.834332,16.121647,79.955979,101.328227
10,2570001461725,2,607,157,0.258649,0.729167,132,65.040878,7.209986,72.250864,88.319635
11,2570181473058,2,606,163,0.268977,0.687500,134,59.078563,15.124767,74.203330,96.073873
12,2570271470767,2,603,159,0.263682,0.729167,138,61.277196,6.741485,68.018681,85.474582
13,2570361465975,2,609,156,0.256158,0.708333,119,57.874350,6.726692,64.601042,85.746875
14,2570451459767,2,601,164,0.272879,0.729167,134,67.908389,15.462810,83.371199,105.632078
15,2570541463475,2,604,192,0.317881,0.687500,133,55.823842,7.849156,63.672998,80.563605
16,2570631468559,2,604,166,0.274834,0.687500,130,59.275481,8.431075,67.706556,83.466824
17,2570721464559,2,603,172,0.285240,0.708333,140,61.111071,16.259855,77.370926,101.625686
18,2570811468850,2,604,178,0.294702,0.729167,136,57.643640,10.749375,68.393015,91.732940
19,2570991474350,2,603,156,0.258706,0.750000,125,59.815482,13.429969,73.245451,93.476822
20,2571081465434,2,602,165,0.274086,0.729167,123,64.497209,15.438769,79.935978,104.821782
21,2571171462517,2,605,163,0.269421,0.729167,135,57.724015,7.383278,65.107293,85.015164
22,2571261467517,2,603,154,0.255390,0.770833,135,67.274886,14.453806,81.728692,109.866927
23,2571351467392,2,603,159,0.263682,0.729167,133,60.170650,14.849266,75.019916,99.386345
24,2571441479059,2,604,155,0.256623,0.666667,129,59.367689,14.604890,73.972579,99.696596
25,2571531472601,2,605,161,0.266116,0.729167,129,59.494565,15.371101,74.865666,98.673508
26,2571711482392,2,607,146,0.240527,0.645833,130,61.364863,7.714322,69.079185,84.697287
27,2571801474351,2,604,157,0.259934,0.729167,123,65.825214,7.368612,73.193826,93.442612
28,2571891471934,2,607,175,0.288303,0.729167,126,58.362268,15.473685,73.835953,93.106486
29,2571981474059,2,603,169,0.280265,0.750000,127,61.054153,10.080747,71.134900,89.298138
30,2572071470309,2,603,165,0.273632,0.729167,118,57.549973,7.739489,65.289462,83.292865
31,2572161479393,2,605,150,0.247934,0.750000,121,63.024162,14.340097,77.364259,98.561840
32,2572251464934,2,604,155,0.256623,0.708333,124,61.188654,14.642807,75.831461,96.166831
33,2572431489934,2,607,162,0.266886,0.708333,118,63.928623,15.167809,79.096432,93.616280
34,2572521487934,2,606,151,0.249175,0.770833,126,62.325158,8.966243,71.291401,92.382691
35,2572611478059,2,602,168,0.279070,0.750000,120,60.982278,12.334256,73.316534,88.036717
36,2572701478018,2,607,167,0.275124,0.750000,118,61.596405,7.806197,69.402602,92.036315
37,2572791496351,2,605,165,0.272727,0.770833,119,65.244169,13.610344,78.854513,103.774860
38,2572881471310,2,609,171,0.280788,0.770833,119,58.263768,16.006062,74.269830,94.175240
39,2572971488893,2,606,166,0.273927,0.729167,122,64.709751,15.245892,79.955643,101.796645
40,2573151513851,2,606,167,0.275578,0.750000,129,62.826535,15.355309,78.181844,104.305737
41,2573241482810,2,604,163,0.269868,0.729167,121,59.821940,14.972808,74.794748,100.734973
42,2573331478518,2,603,166,0.275290,0.750000,123,60.968945,8.485241,69.454186,83.524407
43,2573421486268,2,604,175,0.289735,0.729167,127,60.140150,10.877084,71.017234,92.893652
44,2573511491102,2,602,155,0.257475,0.708333,116,62.247117,14.133471,76.380588,98.679591
45,2573601474310,2,601,165,0.274542,0.770833,118,65.651046,14.989517,80.640563,104.321196
46,2573691487018,2,603,170,0.281924,0.750000,124,60.305901,10.598124,70.904025,87.059837
47,2573871481185,2,603,157,0.260365,0.729167,128,61.627739,7.575654,69.203393,93.082985
48,2573961525810,2,603,153,0.253731,0.687500,120,62.361366,13.173926,75.535292,100.308805
49,2574051480560,2,606,154,0.254125,0.770833,124,59.023520,7.913947,66.937467,81.564315
50,2574141488394,2,604,166,0.274834,0.708333,124,65.834505,15.565352,81.399857,105.257949
51,2574231483935,2,605,165,0.272727,0.729167,124,60.013566,11.274335,71.287901,92.730567
52,2574321481352,2,600,155,0.258333,0.750000,120,60.168358,14.468639,74.636997,92.343524
53,2574411477269,2,601,160,0.266223,0.708333,116,60.998653,8.284948,69.283601,83.662949
54,2574501478227,2,606,162,0.267327,0.750000,126,65.682838,15.513727,81.196565,106.154202
55,2574681500269,2,605,159,0.262810,0.708333,123,60.945069,8.062073,69.007142,82.409611
56,2574771485352,2,605,170,0.280992,0.750000,119,63.981706,15.589477,79.571183,104.012736
