frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms,photometric_inliers,photometric_inlier_ratio,photometric_grid_coverage,patch_ncc_median,patch_ncc_p10,photometric_ms
0,2569011476808,-1,xfeat_star_coarse,stereo,39.534443,22.631134,4.974451,4.928535,16.031519,0.000875,16.918851,16.011769,1.609497,1.689789,600,600,39.860735,7.244614,5.037201,52.142550,384,384,384,1.000000,0.562500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,264,0.687500,0.520833,0.703128,0.114901,29.342625
0,2569011476808,-1,xfeat_star_fine,stereo,39.534443,22.631134,4.974451,4.928535,16.031519,0.000875,16.918851,16.011769,1.609497,1.689789,600,600,39.860735,7.244614,0.331624,59.193123,380,380,379,0.997368,0.541667,0.000000,1.265411,11.756150,0.888249,0.001333,9.620195,1.245831,304,0.800000,0.500000,0.862951,0.268161,23.331800
0,2569011476808,-1,orb_cpu,stereo,66.581072,68.819318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,69.083859,21.441302,2.262413,92.787574,379,333,332,0.875989,0.354167,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,318,0.839050,0.354167,0.929630,0.575860,7.259740
1,2569101470849,-1,xfeat_star_coarse,stereo,21.956052,38.889736,4.448494,5.564075,0.001042,14.903728,16.076935,16.830268,1.429373,1.591456,600,600,39.248986,2.151580,0.678957,42.079523,384,377,377,0.981771,0.520833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,259,0.674479,0.500000,0.688048,0.076259,7.580573
1,2569101470849,-1,xfeat_star_fine,stereo,21.956052,38.889736,4.448494,5.564075,0.001042,14.903728,16.076935,16.830268,1.429373,1.591456,600,600,39.248986,2.151580,0.315167,52.586300,378,378,377,0.997354,0.562500,0.000000,1.263351,10.870567,0.289166,0.000666,9.297820,1.282748,296,0.783069,0.541667,0.842310,0.230836,10.069235
1,2569101470849,-1,orb_cpu,stereo,69.108359,62.895493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,598,69.333859,19.106973,2.173538,90.614370,386,342,341,0.883420,0.333333,0.000000,1.728003,0.000000,0.000000,0.000000,0.000000,0.000000,322,0.834197,0.312500,0.934296,0.577358,7.286532
1,2569101470849,-1,xfeat_guided,temporal,39.534443,21.956052,4.974451,4.448494,16.031519,0.001042,16.918851,16.076935,1.609497,1.429373,600,600,61.490495,4.873077,0.434291,66.797863,384,384,384,1.000000,0.562500,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
1,2569101470849,-1,orb_cpu,temporal,66.581072,69.108359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,135.689431,11.448775,0.711874,147.850080,519,517,517,0.996146,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
10,2570001461725,-1,xfeat_star_coarse,stereo,37.844779,21.194845,3.928036,3.885536,15.865894,0.000875,16.659226,15.843769,1.391415,1.464581,600,600,38.180446,2.090789,0.379375,40.650610,384,384,384,1.000000,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,268,0.697917,0.520833,0.700478,0.149648,7.689364
10,2570001461725,-1,xfeat_star_fine,stereo,37.844779,21.194845,3.928036,3.885536,15.865894,0.000875,16.659226,15.843769,1.391415,1.464581,600,600,38.180446,2.090789,0.316166,51.381886,379,379,379,1.000000,0.583333,0.000000,1.263786,10.794485,0.236833,0.000542,9.308320,1.248623,304,0.802111,0.520833,0.864376,0.267546,13.532023
10,2570001461725,-1,orb_cpu,stereo,64.902574,66.714405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,67.161362,16.508518,2.040663,85.710543,371,333,331,0.892183,0.312500,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,316,0.851752,0.312500,0.935809,0.614560,7.008032
11,2570181473058,-1,xfeat_star_coarse,stereo,23.139509,38.546945,4.666952,4.608035,0.000708,17.235517,17.215309,15.434353,1.256290,1.268873,600,600,38.869652,2.118289,0.766707,41.754648,384,384,384,1.000000,0.562500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,264,0.687500,0.541667,0.689166,0.134168,7.488031
11,2570181473058,-1,xfeat_star_fine,stereo,23.139509,38.546945,4.666952,4.608035,0.000708,17.235517,17.215309,15.434353,1.256290,1.268873,600,600,38.869652,2.118289,0.378042,52.378176,379,379,378,0.997361,0.541667,0.000000,1.296392,11.012193,0.280291,0.000583,9.551112,1.180040,306,0.807388,0.520833,0.842256,0.252590,7.409072
11,2570181473058,-1,orb_cpu,stereo,68.729068,63.956575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,68.943360,10.108235,2.567538,81.619133,371,322,320,0.862534,0.312500,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,305,0.822102,0.291667,0.938222,0.607757,7.028490
11,2570181473058,-1,xfeat_guided,temporal,37.844779,23.139509,3.928036,4.666952,15.865894,0.000708,16.659226,17.215309,1.391415,1.256290,600,600,60.984288,5.197784,0.314875,66.496947,384,384,384,1.000000,0.541667,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
11,2570181473058,-1,orb_cpu,temporal,64.902574,68.729068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,133.631642,8.701529,0.480332,142.813503,521,517,517,0.992322,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
20,2571081465434,-1,xfeat_star_coarse,stereo,38.839569,22.821301,4.340535,4.297494,17.285142,0.000708,15.866894,17.266517,1.346873,1.256415,600,600,39.144360,1.891122,0.470749,41.506231,384,384,384,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,278,0.723958,0.458333,0.725846,0.204708,11.890608
20,2571081465434,-1,xfeat_star_fine,stereo,38.839569,22.821301,4.340535,4.297494,17.285142,0.000708,15.866894,17.266517,1.346873,1.256415,600,600,39.144360,1.891122,0.322624,52.308091,382,382,382,1.000000,0.500000,0.000000,1.247501,10.949985,0.372333,0.000833,9.345237,1.231207,321,0.840314,0.500000,0.870982,0.328636,12.598857
20,2571081465434,-1,orb_cpu,stereo,63.699617,65.367532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,599,65.614490,17.906058,1.567415,85.087963,395,361,361,0.913924,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,345,0.873418,0.333333,0.936223,0.642194,7.451197
21,2571171462517,-1,xfeat_star_coarse,stereo,37.633822,21.244845,5.466409,4.474619,14.594020,0.000959,16.006227,15.509811,1.566832,1.259165,600,600,37.916613,1.869747,0.462125,40.248485,384,384,384,1.000000,0.541667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,281,0.731771,0.500000,0.724615,0.232412,7.152948
21,2571171462517,-1,xfeat_star_fine,stereo,37.633822,21.244845,5.466409,4.474619,14.594020,0.000959,16.006227,15.509811,1.566832,1.259165,600,600,37.916613,1.869747,0.656207,54.419339,381,381,380,0.997375,0.520833,0.000000,1.255005,13.976772,0.259250,0.000584,10.694360,3.022412,321,0.842520,0.500000,0.879463,0.385358,8.306988
21,2571171462517,-1,orb_cpu,stereo,65.211782,58.733291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,65.437240,10.136152,2.343747,77.917139,403,357,356,0.883375,0.333333,0.000000,1.440002,0.000000,0.000000,0.000000,0.000000,0.000000,338,0.838710,0.333333,0.934257,0.557285,7.617447
