frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms,photometric_inliers,photometric_inlier_ratio,photometric_grid_coverage,patch_ncc_median,patch_ncc_p10,photometric_ms
0,2569011476808,-1,xfeat_star_coarse,stereo,39.346725,22.407712,4.909616,4.866492,16.014515,0.000750,16.717139,15.993389,1.705205,1.546831,600,600,39.598183,6.903280,5.112908,51.614371,384,384,384,1.000000,0.562500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,264,0.687500,0.520833,0.703128,0.114901,33.405360
0,2569011476808,-1,xfeat_star_fine,stereo,39.346725,22.407712,4.909616,4.866492,16.014515,0.000750,16.717139,15.993389,1.705205,1.546831,600,600,39.598183,6.903280,0.327707,58.599233,380,380,379,0.997368,0.541667,0.000000,1.265411,11.770063,0.907206,0.003041,9.624317,1.234915,304,0.800000,0.500000,0.862951,0.268161,14.831975
0,2569011476808,-1,orb_cpu,stereo,63.812226,67.394845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,67.651594,22.132796,4.407993,94.192383,379,333,332,0.875989,0.354167,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,318,0.839050,0.354167,0.929630,0.575860,7.416362
1,2569101470849,-1,xfeat_star_coarse,stereo,21.955254,38.964768,4.485909,5.643866,0.000833,14.815183,16.019223,17.116763,1.449081,1.388331,600,600,39.289392,3.850119,1.294623,44.434134,384,377,377,0.981771,0.520833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,259,0.674479,0.500000,0.688048,0.076259,14.572767
1,2569101470849,-1,xfeat_star_fine,stereo,21.955254,38.964768,4.485909,5.643866,0.000833,14.815183,16.019223,17.116763,1.449081,1.388331,600,600,39.289392,3.850119,0.320041,54.399951,378,378,377,0.997354,0.562500,0.000000,1.263351,10.940399,0.377458,0.000791,9.317318,1.244540,296,0.783069,0.541667,0.842310,0.230836,14.242059
1,2569101470849,-1,orb_cpu,stereo,67.825094,61.144022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,598,68.072177,19.340051,2.159871,89.572099,386,342,341,0.883420,0.333333,0.000000,1.728003,0.000000,0.000000,0.000000,0.000000,0.000000,322,0.834197,0.312500,0.934296,0.577358,7.270654
1,2569101470849,-1,xfeat_guided,temporal,39.346725,21.955254,4.909616,4.485909,16.014515,0.000833,16.717139,16.019223,1.705205,1.449081,600,600,61.301979,4.966033,0.424083,66.692095,384,384,384,1.000000,0.562500,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
1,2569101470849,-1,orb_cpu,temporal,63.812226,67.825094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,131.637320,10.115566,0.687041,142.439927,519,517,517,0.996146,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
10,2570001461725,-1,xfeat_star_coarse,stereo,21.146089,37.713186,3.841993,3.804369,0.000792,15.888890,15.870390,16.588097,1.432664,1.431622,600,600,38.014769,2.113247,0.373083,40.501099,384,384,384,1.000000,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,268,0.697917,0.520833,0.700478,0.149648,7.477529
10,2570001461725,-1,xfeat_star_fine,stereo,21.146089,37.713186,3.841993,3.804369,0.000792,15.888890,15.870390,16.588097,1.432664,1.431622,600,600,38.014769,2.113247,0.316958,51.309081,379,379,379,1.000000,0.583333,0.000000,1.263786,10.864107,0.286042,0.000625,9.308860,1.268414,304,0.802111,0.520833,0.864376,0.267546,10.285441
10,2570001461725,-1,orb_cpu,stereo,64.659141,66.878220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,67.318053,18.064553,2.027580,87.410186,371,333,331,0.892183,0.312500,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,316,0.851752,0.312500,0.935809,0.614560,6.970447
11,2570181473058,-1,xfeat_star_coarse,stereo,22.733295,39.943849,4.643367,4.599826,0.000667,16.688556,16.663514,17.389387,1.425414,1.265664,600,600,40.230766,1.838872,0.619374,42.689012,384,384,384,1.000000,0.562500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,264,0.687500,0.541667,0.689166,0.134168,7.263196
11,2570181473058,-1,xfeat_star_fine,stereo,22.733295,39.943849,4.643367,4.599826,0.000667,16.688556,16.663514,17.389387,1.425414,1.265664,600,600,40.230766,1.838872,0.314416,53.660744,379,379,378,0.997361,0.541667,0.000000,1.296392,11.276690,0.286667,0.000500,9.748984,1.240373,306,0.807388,0.520833,0.842256,0.252590,5.878407
11,2570181473058,-1,orb_cpu,stereo,65.528057,67.503470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,67.745302,14.925808,2.569579,85.240689,371,322,320,0.862534,0.312500,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,305,0.822102,0.291667,0.938222,0.607757,6.989155
11,2570181473058,-1,xfeat_guided,temporal,21.146089,22.733295,3.841993,4.643367,0.000792,0.000667,15.870390,16.663514,1.432664,1.425414,600,600,43.879384,5.112242,0.308083,49.299709,384,384,384,1.000000,0.541667,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
11,2570181473058,-1,orb_cpu,temporal,64.659141,65.528057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,130.187198,10.001191,0.595999,140.784388,521,517,517,0.992322,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
20,2571081465434,-1,xfeat_star_coarse,stereo,22.873586,38.922310,3.980576,3.990369,0.000791,17.616262,17.639096,15.861057,1.252914,1.454539,600,600,39.207226,4.693367,2.029746,45.930339,384,384,384,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,278,0.723958,0.458333,0.725846,0.204708,21.623881
20,2571081465434,-1,xfeat_star_fine,stereo,22.873586,38.922310,3.980576,3.990369,0.000791,17.616262,17.639096,15.861057,1.252914,1.454539,600,600,39.207226,4.693367,0.520916,56.477280,382,382,382,1.000000,0.500000,0.000000,1.247501,12.055771,0.367874,0.000791,10.414733,1.272039,321,0.840314,0.500000,0.870982,0.328636,14.678892
20,2571081465434,-1,orb_cpu,stereo,65.129723,67.255470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,599,67.527969,11.867230,1.271123,80.666322,395,361,361,0.913924,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,345,0.873418,0.333333,0.936223,0.642194,6.041114
