frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms
0,2569011476808,-1,xfeat_star_coarse,stereo,23.109491,39.724539,5.057739,5.008906,0.001084,16.269590,16.251256,16.979671,1.799079,1.466122,600,600,40.026455,1.728621,10.305561,52.060637,384,384,384,1.000000,0.562500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,2569011476808,-1,xfeat_star_fine,stereo,23.109491,39.724539,5.057739,5.008906,0.001084,16.269590,16.251256,16.979671,1.799079,1.466122,600,600,40.026455,1.728621,0.321416,54.318715,380,380,379,0.997368,0.541667,0.000000,1.265411,12.242223,0.949581,0.001250,10.032437,1.258247
0,2569011476808,-1,orb_cpu,stereo,64.774485,67.368562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,67.667770,26.847109,4.412116,98.926995,379,333,332,0.875989,0.354167,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000
1,2569101470849,-1,xfeat_star_coarse,stereo,22.952451,39.213956,4.494241,5.776696,0.000792,15.868008,17.217629,15.978548,1.239248,1.590288,600,600,39.637205,3.982283,1.246081,44.865569,384,377,377,0.981771,0.520833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2569101470849,-1,xfeat_star_fine,stereo,22.952451,39.213956,4.494241,5.776696,0.000792,15.868008,17.217629,15.978548,1.239248,1.590288,600,600,39.637205,3.982283,0.316375,57.563125,378,378,377,0.997354,0.562500,0.000000,1.263351,13.627262,0.396207,0.001041,11.959183,1.270497
1,2569101470849,-1,orb_cpu,stereo,67.454395,61.774824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,598,67.779353,15.649132,4.281449,87.709934,386,342,341,0.883420,0.333333,0.000000,1.728003,0.000000,0.000000,0.000000,0.000000,0.000000
1,2569101470849,-1,xfeat_guided,temporal,23.109491,22.952451,5.057739,4.494241,0.001084,0.000792,16.251256,17.217629,1.799079,1.239248,600,600,46.061942,9.260605,0.746498,56.069045,384,384,384,1.000000,0.562500,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000
1,2569101470849,-1,orb_cpu,temporal,64.774485,67.454395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,132.228880,14.528427,0.702457,147.459764,519,517,517,0.996146,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000
10,2570001461725,-1,xfeat_star_coarse,stereo,31.656098,47.508397,12.200265,12.016724,0.001125,18.138711,18.120502,15.884507,1.333872,1.468122,600,600,48.172437,2.198954,0.382541,50.753932,384,384,384,1.000000,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,2570001461725,-1,xfeat_star_fine,stereo,31.656098,47.508397,12.200265,12.016724,0.001125,18.138711,18.120502,15.884507,1.333872,1.468122,600,600,48.172437,2.198954,0.319749,61.914740,379,379,379,1.000000,0.583333,0.000000,1.263786,11.223600,0.269916,0.001000,9.725063,1.227455
