method,frame_index,stamp_ns,orb_tracking_ok,extract_pair_ms,temporal_match_ms,temporal_matches,temporal_ransac_inliers,temporal_ransac_ratio,temporal_coverage,stereo_matches,stereo_geometric_depths,stereo_ncc_depths,stereo_ncc_ratio,stereo_ncc_coverage,stereo_ncc_median,pnp_candidates,pnp_success,pnp_inliers,pnp_inlier_ratio,pnp_reprojection_median_px,pnp_reprojection_p90_px,pnp_grid_coverage,relative_translation_m,relative_rotation_rad,pnp_ms
xfeat_sparse_coarse,1,2569101470849,,189.22525399830192,3.614686953369528,425,386,0.908235294117647,0.7916666666666666,259,230,186,0.7181467181467182,0.6041666666666666,0.8347554802894592,158,1,142,0.8987341772151899,0.03632737696170807,0.9830958306789398,0.6041666666666666,6.321706065572376e-05,8.4135369969043e-05,0.9709880105219781
xfeat_grid_fine,1,2569101470849,,199.1122220060788,12.320337991695851,328,328,1.0,1.0,209,209,157,0.7511961722488039,0.7083333333333334,0.7908695936203003,130,1,110,0.8461538461538461,0.5448814630508423,0.9521471202373506,0.5208333333333334,0.0032358677702194368,0.0041476802112294835,1.0009450488723814
xfeat_global_fine,1,2569101470849,,92.18763699755073,7.435092993546277,376,375,0.9973404255319149,0.5416666666666666,362,359,295,0.8149171270718232,0.5625,0.8548638820648193,246,1,225,0.9146341463414634,0.39036354422569275,0.7927718877792358,0.3541666666666667,0.02084041480194315,0.003122855094821705,0.9843260049819946
orb_control,1,2569101470849,,13.69054603856057,1.6911459970287979,500,499,0.998,0.4166666666666667,353,284,275,0.7790368271954674,0.3958333333333333,0.9420346021652222,259,1,255,0.9845559845559846,0.01531976368278265,0.03127410784363746,0.375,0.0005912215802649338,0.0001080575783906818,0.7335649570450187
xfeat_sparse_coarse,11,2570181473058,,178.51429001893848,2.82749196048826,414,364,0.8792270531400966,0.7291666666666666,250,220,164,0.656,0.5833333333333334,0.789307713508606,135,1,124,0.9185185185185185,0.086447574198246,1.0197189092636108,0.5625,0.00040677023057999367,0.0003447982045067111,0.8515779627487063
xfeat_grid_fine,11,2570181473058,,194.84190095681697,12.862499977927655,319,318,0.9968652037617555,0.9583333333333334,198,198,148,0.7474747474747475,0.7083333333333334,0.7748581171035767,115,1,115,1.0,0.6046689748764038,1.0165889739990237,0.7083333333333334,0.0009132065108634539,0.003869834656232466,0.8473190246149898
xfeat_global_fine,11,2570181473058,,92.35494903987274,7.260237995069474,382,381,0.9973821989528796,0.5208333333333334,353,352,288,0.8158640226628895,0.5208333333333334,0.8401243686676025,238,1,219,0.9201680672268907,0.3923044800758362,0.7820579171180727,0.3125,0.025395561332481314,0.0029519755086521928,1.0084870154969394
orb_control,11,2570181473058,,11.564985965378582,1.4369639684446156,509,503,0.9882121807465619,0.4166666666666667,344,272,267,0.7761627906976745,0.3541666666666667,0.9457504749298096,244,1,241,0.9877049180327869,0.036992162466049194,0.07791134715080261,0.3541666666666667,0.0020295349015370685,0.00027327550745276353,0.675187970045954
xfeat_sparse_coarse,21,2571171462517,True,183.33298701327294,3.268678963650018,410,379,0.9243902439024391,0.6666666666666666,276,249,188,0.6811594202898551,0.5833333333333334,0.7863029837608337,149,1,139,0.9328859060402684,0.05663647502660751,1.019469666481018,0.5208333333333334,0.0005625567887802681,0.0003006669954629358,0.7277699769474566
xfeat_grid_fine,21,2571171462517,True,200.42705396190286,12.987565016373992,291,290,0.9965635738831615,0.8958333333333334,205,205,148,0.7219512195121951,0.6666666666666666,0.7925813794136047,111,1,99,0.8918918918918919,0.5425509214401245,0.9348623633384706,0.5416666666666666,0.0020465000143924414,0.0041141835602803425,0.9542979532852769
xfeat_global_fine,21,2571171462517,True,97.19717997359112,7.436139974743128,378,376,0.9947089947089947,0.5,362,362,301,0.8314917127071824,0.4791666666666667,0.8493645191192627,262,1,246,0.9389312977099237,0.3931252956390381,0.8046921491622925,0.3541666666666667,0.024361472355354304,0.0026768668349516182,1.0001070331782103
orb_control,21,2571171462517,True,11.90058799693361,1.4181800070218742,509,503,0.9882121807465619,0.4166666666666667,375,311,305,0.8133333333333334,0.3541666666666667,0.9447178840637207,285,1,283,0.9929824561403509,0.03348539024591446,0.09722172766923906,0.3541666666666667,0.0012267892812316812,0.00027063660994402285,0.8605169714428484
xfeat_sparse_coarse,31,2572161479393,True,180.9018519707024,2.716321963816881,416,389,0.9350961538461539,0.625,267,242,175,0.6554307116104869,0.5208333333333334,0.765177845954895,149,1,137,0.9194630872483222,0.0844120904803276,0.9927422165870667,0.4583333333333333,0.00030988494518556937,0.0006561183869109951,0.7635229849256575
xfeat_grid_fine,31,2572161479393,True,199.9182720319368,12.064551003277302,298,294,0.9865771812080537,0.9166666666666666,206,206,145,0.7038834951456311,0.75,0.7510759234428406,117,1,106,0.905982905982906,0.5434233546257019,0.9227162599563599,0.625,0.0009025634888700361,0.004193234451935511,0.735800014808774
xfeat_global_fine,31,2572161479393,True,92.63098798692226,8.911302022170275,380,380,1.0,0.4583333333333333,367,366,311,0.8474114441416893,0.4583333333333333,0.859747052192688,277,1,268,0.9675090252707581,0.42316555976867676,0.8439580738544464,0.375,0.014858969114338216,0.004342727866014797,0.9971740073524415
orb_control,31,2572161479393,True,11.379308009054512,1.4654549886472523,522,518,0.9923371647509579,0.3958333333333333,370,311,303,0.8189189189189189,0.3541666666666667,0.9471008777618408,280,1,278,0.9928571428571429,0.010954284109175205,0.016306892037391663,0.3541666666666667,6.984030845341966e-05,4.671031582563243e-05,0.8434780174866319
xfeat_sparse_coarse,41,2573241482810,True,193.04726598784328,2.9440379585139453,423,384,0.9078014184397163,0.6041666666666666,266,233,187,0.7030075187969925,0.5208333333333334,0.7968826293945312,156,1,136,0.8717948717948718,0.036498166620731354,1.0091185569763184,0.5,0.00034794894949881415,0.0002126401630421,1.3213249621912837
xfeat_grid_fine,41,2573241482810,True,211.81488101137802,12.619490968063474,304,301,0.9901315789473685,0.875,194,193,142,0.7319587628865979,0.75,0.7844269275665283,117,1,99,0.8461538461538461,0.5472516417503357,0.9252583265304566,0.5416666666666666,0.002134488307129687,0.003753288201131878,1.167698996141553
xfeat_global_fine,41,2573241482810,True,96.94306802703068,7.376365014351904,378,371,0.9814814814814815,0.4583333333333333,368,368,315,0.8559782608695652,0.4583333333333333,0.8658220171928406,272,1,262,0.9632352941176471,0.4268091917037964,0.8869038045406342,0.375,0.013386117844245005,0.004649671863016228,0.955275958403945
orb_control,41,2573241482810,True,11.305078049190342,1.3900389894843102,513,509,0.9922027290448343,0.4375,379,300,295,0.7783641160949868,0.375,0.9522476196289062,268,1,267,0.996268656716418,0.014762435108423233,0.043724880367517475,0.3541666666666667,0.0009325958515859304,0.00013529708413068827,0.7019329932518303
xfeat_sparse_coarse,51,2574231483935,True,191.832572047133,2.5548049598000944,437,386,0.8832951945080092,0.6666666666666666,281,257,194,0.6903914590747331,0.4791666666666667,0.8275269269943237,169,1,148,0.8757396449704142,0.04494035243988037,0.9923305869102478,0.4791666666666667,0.00024008059346869112,0.00016864500606585863,1.1163740418851376
xfeat_grid_fine,51,2574231483935,True,209.48723296169192,12.628010008484125,309,309,1.0,0.9166666666666666,206,206,148,0.7184466019417476,0.6875,0.7597575187683105,122,1,109,0.8934426229508197,0.4727393388748169,0.8728414297103883,0.5625,0.0032457982094716105,0.004109285563970554,0.7767900242470205
xfeat_global_fine,51,2574231483935,True,91.87521698186174,7.779285020660609,380,380,1.0,0.5,365,363,309,0.8465753424657534,0.4791666666666667,0.857898473739624,272,1,259,0.9522058823529411,0.3709345757961273,0.7825247406959535,0.3541666666666667,0.01789203915695202,0.0033528300968367983,1.0591140016913414
orb_control,51,2574231483935,True,11.22393598780036,1.8461690051481128,516,510,0.9883720930232558,0.4583333333333333,384,315,309,0.8046875,0.4166666666666667,0.9484859108924866,282,1,280,0.9929078014184397,0.01669822633266449,0.03472086787223816,0.4166666666666667,0.00010909706877295467,0.00011836016948525959,0.8503210265189409
xfeat_sparse_coarse,61,2575221484144,True,179.83331304276362,3.4952079877257347,439,390,0.8883826879271071,0.625,286,254,188,0.6573426573426573,0.4583333333333333,0.7700706720352173,159,1,141,0.8867924528301887,0.0946502834558487,1.003283143043518,0.4583333333333333,0.0009738092749886054,0.0003081367011020782,1.0591130121611059
xfeat_grid_fine,61,2575221484144,True,201.74684299854562,12.25211500423029,305,299,0.980327868852459,0.8958333333333334,202,202,138,0.6831683168316832,0.7083333333333334,0.756653904914856,117,1,97,0.8290598290598291,0.425688773393631,0.8736780166625977,0.4791666666666667,0.009167007925507002,0.004518243216660032,1.0181929683312774
xfeat_global_fine,61,2575221484144,True,92.86666405387223,7.173647987656295,379,373,0.9841688654353562,0.4791666666666667,365,364,310,0.8493150684931506,0.4583333333333333,0.8595728874206543,267,1,261,0.9775280898876404,0.4135478138923645,0.8428062796592712,0.375,0.015422964388534955,0.004575293671008185,0.9704289841465652
orb_control,61,2575221484144,True,11.573505937121809,1.4088230091147125,514,510,0.9922178988326849,0.4166666666666667,386,317,311,0.805699481865285,0.375,0.9450940489768982,282,1,279,0.9893617021276596,0.02344980090856552,0.040712247043848036,0.375,0.00010641441433580984,8.477822948290751e-05,0.8716890006326139
xfeat_sparse_coarse,71,2576301492853,True,192.89084704359993,2.939498983323574,430,391,0.9093023255813953,0.6458333333333334,292,257,196,0.6712328767123288,0.4791666666666667,0.7902565002441406,157,1,143,0.910828025477707,0.08222255110740662,1.0522528886795044,0.4791666666666667,0.00040217137700821013,0.00021198166685129123,0.8138699922710657
xfeat_grid_fine,71,2576301492853,True,252.4090179358609,11.863090971019119,299,299,1.0,0.9166666666666666,211,210,146,0.6919431279620853,0.7083333333333334,0.7676947712898254,115,1,95,0.8260869565217391,0.43590301275253296,0.8492949843406679,0.5208333333333334,0.009964261784522373,0.004737633551750641,1.0449379915371537
xfeat_global_fine,71,2576301492853,True,102.59099904214963,6.774848036002368,375,375,1.0,0.4583333333333333,362,362,312,0.861878453038674,0.4583333333333333,0.8618724346160889,271,1,256,0.9446494464944649,0.3940494656562805,0.7353120446205139,0.3541666666666667,0.019882196782644804,0.003021679538272257,0.932370952796191
orb_control,71,2576301492853,True,14.009040023665875,1.3887110399082303,513,506,0.98635477582846,0.4583333333333333,385,315,309,0.8025974025974026,0.4166666666666667,0.9446929693222046,277,1,274,0.9891696750902527,0.03142106160521507,0.05561329796910287,0.4166666666666667,0.00033445114861729305,0.00024672630747400747,0.8346789982169867
xfeat_sparse_coarse,81,2577291484020,True,184.41926600644365,3.072105988394469,416,383,0.9206730769230769,0.6458333333333334,282,256,195,0.6914893617021277,0.5,0.7763585448265076,154,1,142,0.922077922077922,0.0716497078537941,0.9888453841209411,0.4791666666666667,0.0007139863665804879,0.0002663367496783836,0.7633129716850817
xfeat_grid_fine,81,2577291484020,True,199.6451669256203,12.63855496654287,302,302,1.0,0.9166666666666666,209,209,152,0.7272727272727273,0.7083333333333334,0.7642979025840759,120,1,106,0.8833333333333333,0.4896264672279358,0.8704778552055359,0.6041666666666666,0.004314087195805988,0.0042868035860122574,0.8985740132629871
xfeat_global_fine,81,2577291484020,True,96.18359600426629,7.89974199142307,381,379,0.994750656167979,0.4791666666666667,374,374,320,0.8556149732620321,0.4791666666666667,0.8579748272895813,279,1,269,0.96415770609319,0.3825743496417999,0.8097904562950134,0.3541666666666667,0.021487509206374197,0.003024321904463896,0.9111440158449113
orb_control,81,2577291484020,True,11.630766035523266,1.4230679953470826,514,513,0.9980544747081712,0.4375,374,304,298,0.7967914438502673,0.3958333333333333,0.9498867988586426,274,1,273,0.9963503649635036,0.008768069557845592,0.023749505355954183,0.3541666666666667,0.0005431801057339901,2.5705393242144396e-05,0.7287469925358891
xfeat_sparse_coarse,91,2578281501270,True,182.29642999358475,3.2665840117260814,417,373,0.894484412470024,0.6458333333333334,300,262,199,0.6633333333333333,0.5,0.7897738814353943,167,1,150,0.8982035928143712,0.07944776117801666,1.007708740234375,0.5,0.0006945413429232491,0.0005376562813941686,0.9910289663821459
xfeat_grid_fine,91,2578281501270,True,200.9650249965489,12.456158001441509,303,302,0.9966996699669967,0.9166666666666666,199,197,143,0.7185929648241206,0.6875,0.7617374658584595,113,1,110,0.9734513274336283,0.523780345916748,0.9047212302684785,0.6666666666666666,0.0002008250825551814,0.004038505539835284,0.5913909990340471
xfeat_global_fine,91,2578281501270,True,93.35037699202076,7.172112003900111,380,380,1.0,0.4791666666666667,366,366,310,0.8469945355191257,0.4583333333333333,0.849136471748352,271,1,252,0.9298892988929889,0.4362538456916809,0.9049634337425232,0.375,0.00890282815616397,0.004524400906498618,1.0948670096695423
orb_control,91,2578281501270,True,11.76051003858447,1.4069370226934552,516,514,0.9961240310077519,0.4166666666666667,375,304,301,0.8026666666666666,0.3958333333333333,0.9417176246643066,269,1,267,0.9925650557620818,0.021545102819800377,0.03374115079641342,0.3958333333333333,0.00033332727231033283,7.645624303378106e-05,1.0591140016913414
xfeat_sparse_coarse,101,2579361495313,True,192.62863497715443,3.297239018138498,415,383,0.9228915662650602,0.625,275,241,180,0.6545454545454545,0.5416666666666666,0.7888071537017822,144,1,130,0.9027777777777778,0.07190826535224915,1.0087298274040224,0.5208333333333334,0.00037938160742639665,0.0001826596785572101,0.7963429670780897
xfeat_grid_fine,101,2579361495313,True,204.8949259915389,12.584576033987105,303,303,1.0,0.9375,210,210,151,0.719047619047619,0.7291666666666666,0.7625119686126709,117,1,99,0.8461538461538461,0.48435068130493164,0.8803847432136536,0.5625,0.008114222971252732,0.004420511727828447,0.9614910231903195
xfeat_global_fine,101,2579361495313,True,99.17728195432574,6.917511986102909,376,375,0.9973404255319149,0.5208333333333334,362,362,302,0.8342541436464088,0.4375,0.8581935167312622,261,1,247,0.946360153256705,0.4008810222148895,0.7944933176040649,0.3541666666666667,0.020579932243091664,0.003343963774785544,1.0028299875557423
orb_control,101,2579361495313,True,11.501859000418335,1.8500100122764707,512,504,0.984375,0.4375,374,312,304,0.8128342245989305,0.375,0.9494696855545044,278,1,277,0.9964028776978417,0.029502738267183304,0.06384304761886597,0.3541666666666667,0.0003093579812312954,0.00025058856698092813,0.8556979591958225
xfeat_sparse_coarse,111,2580351508313,True,187.32287304010242,3.0163819901645184,293,194,0.6621160409556314,0.5625,292,259,206,0.7054794520547946,0.5833333333333334,0.7854911088943481,124,1,64,0.5161290322580645,0.744189441204071,1.2737951636314393,0.375,0.024900096703934393,0.007144569476392176,7.915174996014684
xfeat_grid_fine,111,2580351508313,True,207.21880201017484,10.73191303294152,231,196,0.8484848484848485,0.7916666666666666,219,218,173,0.7899543378995434,0.7916666666666666,0.8101722002029419,122,1,96,0.7868852459016393,0.7472750544548035,1.3928472995758057,0.5416666666666666,0.020965600731563883,0.004145073571974701,1.219303987454623
xfeat_global_fine,111,2580351508313,True,98.00043498398736,7.6701409998349845,377,372,0.986737400530504,0.5208333333333334,371,369,319,0.8598382749326146,0.5625,0.8533341288566589,267,1,237,0.8876404494382022,0.552667498588562,1.011842966079712,0.375,0.016024494727278685,0.004711521742918309,1.0887219686992466
orb_control,111,2580351508313,True,10.48597093904391,1.5167110250331461,415,385,0.927710843373494,0.3541666666666667,402,333,325,0.8084577114427861,0.375,0.9481120109558105,246,1,224,0.9105691056910569,0.5380899906158447,1.3562427401542667,0.3125,0.016707862262225197,0.007131483191324084,0.9388659964315593
xfeat_sparse_coarse,121,2581431510480,True,186.09204597305506,2.313403005246073,332,232,0.6987951807228916,0.5,274,245,191,0.6970802919708029,0.5625,0.737785816192627,125,1,82,0.656,0.7233752012252808,1.3772398233413696,0.4166666666666667,0.022094783473695846,0.003703819504129272,2.635946962982416
xfeat_grid_fine,121,2581431510480,True,204.1452980483882,11.014374962542206,217,190,0.8755760368663594,0.75,215,212,170,0.7906976744186046,0.8333333333333334,0.7871083617210388,118,1,92,0.7796610169491526,0.5730975866317749,0.9663030862808228,0.4375,0.007575478881474999,0.0025663264760768033,1.210294954944402
