method,frame_index,stamp_ns,orb_tracking_ok,extract_pair_ms,temporal_match_ms,temporal_matches,temporal_ransac_inliers,temporal_ransac_ratio,temporal_coverage,stereo_matches,stereo_geometric_depths,stereo_ncc_depths,stereo_ncc_ratio,stereo_ncc_coverage,stereo_ncc_median,pnp_candidates,pnp_success,pnp_inliers,pnp_inlier_ratio,pnp_reprojection_median_px,pnp_reprojection_p90_px,pnp_grid_coverage,relative_translation_m,relative_rotation_rad,pnp_ms
xfeat_grid_fine,1,2569101470849,,196.6947040054947,12.882609968073666,328,328,1.0,1.0,209,209,157,0.7511961722488039,0.7083333333333334,0.7908695936203003,130,1,110,0.8461538461538461,0.5448814630508423,0.9521471202373506,0.5208333333333334,0.0032358677702194368,0.0041476802112294835,1.1540830018930137
xfeat_global_fine,1,2569101470849,,92.88216807181016,7.409815036226064,376,375,0.9973404255319149,0.5416666666666666,362,359,295,0.8149171270718232,0.5625,0.8548638820648193,246,1,225,0.9146341463414634,0.39036354422569275,0.7927718877792358,0.3541666666666667,0.02084041480194315,0.003122855094821705,1.3681820128113031
orb_control,1,2569101470849,,11.246002046391368,3.066100995056331,500,499,0.998,0.4166666666666667,353,284,275,0.7790368271954674,0.3958333333333333,0.9420346021652222,259,1,255,0.9845559845559846,0.01531976368278265,0.03127410784363746,0.375,0.0005912215802649338,0.0001080575783906818,0.820572953671217
xfeat_grid_fine,11,2570181473058,,194.63604199700058,12.495472037699074,319,318,0.9968652037617555,0.9583333333333334,198,198,148,0.7474747474747475,0.7083333333333334,0.7748581171035767,115,1,115,1.0,0.6046689748764038,1.0165889739990237,0.7083333333333334,0.0009132065108634539,0.003869834656232466,0.7201579865068197
xfeat_global_fine,11,2570181473058,,91.86187904560938,6.944605964235961,382,381,0.9973821989528796,0.5208333333333334,353,352,288,0.8158640226628895,0.5208333333333334,0.8401243686676025,238,1,219,0.9201680672268907,0.3923044800758362,0.7820579171180727,0.3125,0.025395561332481314,0.0029519755086521928,0.8908929885365069
orb_control,11,2570181473058,,11.626017978414893,1.6287179896607995,509,503,0.9882121807465619,0.4166666666666667,344,272,267,0.7761627906976745,0.3541666666666667,0.9457504749298096,244,1,241,0.9877049180327869,0.036992162466049194,0.07791134715080261,0.3541666666666667,0.0020295349015370685,0.00027327550745276353,0.688524974975735
xfeat_grid_fine,21,2571171462517,True,194.8632689891383,11.535796977113932,291,290,0.9965635738831615,0.8958333333333334,205,205,148,0.7219512195121951,0.6666666666666666,0.7925813794136047,111,1,99,0.8918918918918919,0.5425509214401245,0.9348623633384706,0.5416666666666666,0.0020465000143924414,0.0041141835602803425,0.9718249784782529
xfeat_global_fine,21,2571171462517,True,90.22115095285699,6.948446971364319,378,376,0.9947089947089947,0.5,362,362,301,0.8314917127071824,0.4791666666666667,0.8493645191192627,262,1,246,0.9389312977099237,0.3931252956390381,0.8046921491622925,0.3541666666666667,0.024361472355354304,0.0026768668349516182,0.9779710089787841
orb_control,21,2571171462517,True,10.910608049016446,1.3151110033504665,509,503,0.9882121807465619,0.4166666666666667,375,311,305,0.8133333333333334,0.3541666666666667,0.9447178840637207,285,1,283,0.9929824561403509,0.03348539024591446,0.09722172766923906,0.3541666666666667,0.0012267892812316812,0.00027063660994402285,0.7977389614097774
xfeat_grid_fine,31,2572161479393,True,188.77478106878698,11.344462051056325,298,294,0.9865771812080537,0.9166666666666666,206,206,145,0.7038834951456311,0.75,0.7510759234428406,117,1,106,0.905982905982906,0.5434233546257019,0.9227162599563599,0.625,0.0009025634888700361,0.004193234451935511,0.7477410254068673
