method,frame_index,stamp_ns,orb_tracking_ok,extract_pair_ms,temporal_match_ms,temporal_matches,temporal_ransac_inliers,temporal_ransac_ratio,temporal_coverage,stereo_matches,stereo_geometric_depths,stereo_ncc_depths,stereo_ncc_ratio,stereo_ncc_coverage,stereo_ncc_median,pnp_candidates,pnp_success,pnp_inliers,pnp_inlier_ratio,pnp_reprojection_median_px,pnp_reprojection_p90_px,pnp_grid_coverage,relative_translation_m,relative_rotation_rad,pnp_ms
xfeat_grid16_fine,1,2569101470849,,196.29974506096914,12.794904003385454,350,346,0.9885714285714285,1.0,263,263,194,0.7376425855513308,0.7083333333333334,0.7895573377609253,145,1,126,0.8689655172413793,0.46042996644973755,0.8864091038703918,0.6458333333333334,0.0003177092403419727,0.004559501804383764,1.079713983926922
xfeat_grid20_fine,1,2569101470849,,196.3863330311142,13.116889982484281,350,346,0.9885714285714285,1.0,263,263,194,0.7376425855513308,0.7083333333333334,0.7895573377609253,145,1,126,0.8689655172413793,0.46042996644973755,0.8864091038703918,0.6458333333333334,0.0003177092403419727,0.004559501804383764,0.9062560275197029
xfeat_grid16_fine,11,2570181473058,,199.53518296824768,13.714495988097042,351,350,0.9971509971509972,1.0,259,259,189,0.7297297297297297,0.7291666666666666,0.7663401365280151,140,1,140,1.0,0.6296104788780212,1.0484958648681642,0.75,0.000746861031595911,0.0038087673189606593,1.1020590318366885
xfeat_grid20_fine,11,2570181473058,,196.1345259915106,13.085605984088033,351,350,0.9971509971509972,1.0,259,259,189,0.7297297297297297,0.7291666666666666,0.7663401365280151,140,1,140,1.0,0.6296104788780212,1.0484958648681642,0.75,0.000746861031595911,0.0038087673189606593,1.0945170070044696
xfeat_grid16_fine,21,2571171462517,True,190.4439990175888,13.147126999683678,330,328,0.9939393939393939,0.8958333333333334,254,253,182,0.7165354330708661,0.7083333333333334,0.7752328515052795,138,1,113,0.8188405797101449,0.4446388781070709,0.9484350919723511,0.4791666666666667,0.012862473232448405,0.004226192137567747,1.259107026271522
xfeat_grid20_fine,21,2571171462517,True,187.6484209788032,12.198694050312042,330,328,0.9939393939393939,0.8958333333333334,254,253,182,0.7165354330708661,0.7083333333333334,0.7752328515052795,138,1,113,0.8188405797101449,0.4446388781070709,0.9484350919723511,0.4791666666666667,0.012862473232448405,0.004226192137567747,1.1300609912723303
xfeat_grid16_fine,31,2572161479393,True,188.94991400884464,13.481614005286247,331,328,0.9909365558912386,0.9166666666666666,271,271,184,0.6789667896678967,0.7708333333333334,0.7262207269668579,136,1,113,0.8308823529411765,0.5189555883407593,0.9138412952423095,0.625,0.00270523693716188,0.00452423405896069,1.0343939648009837
xfeat_grid20_fine,31,2572161479393,True,199.6528470190242,11.928801017347723,331,328,0.9909365558912386,0.9166666666666666,271,271,184,0.6789667896678967,0.7708333333333334,0.7262207269668579,136,1,113,0.8308823529411765,0.5189555883407593,0.9138412952423095,0.625,0.00270523693716188,0.00452423405896069,1.0186809813603759
xfeat_grid16_fine,41,2573241482810,True,197.08644994534552,13.720222981646657,337,335,0.9940652818991098,0.9375,258,257,184,0.7131782945736435,0.7708333333333334,0.7687920928001404,139,1,136,0.9784172661870504,0.5644519329071045,0.9502309560775757,0.7291666666666666,0.0003031161315849357,0.003849651688381495,0.8769960259087384
xfeat_grid20_fine,41,2573241482810,True,193.03665298502892,13.651999004650861,337,335,0.9940652818991098,0.9375,258,257,184,0.7131782945736435,0.7708333333333334,0.7687920928001404,139,1,136,0.9784172661870504,0.5644519329071045,0.9502309560775757,0.7291666666666666,0.0003031161315849357,0.003849651688381495,0.9494799887761474
