method,frame_index,stamp_ns,orb_tracking_ok,extract_pair_ms,temporal_match_ms,temporal_matches,temporal_ransac_inliers,temporal_ransac_ratio,temporal_coverage,stereo_matches,stereo_geometric_depths,stereo_ncc_depths,stereo_ncc_ratio,stereo_ncc_coverage,stereo_ncc_median,pnp_candidates,pnp_success,pnp_inliers,pnp_inlier_ratio,pnp_reprojection_median_px,pnp_reprojection_p90_px,pnp_grid_coverage,relative_translation_m,relative_rotation_rad,pnp_ms
xfeat_sparse_coarse,1,2569101470849,,174.63997501181439,9.96301299892366,425,386,0.908235294117647,0.7916666666666666,259,230,186,0.7181467181467182,0.6041666666666666,0.8347554802894592,158,1,142,0.8987341772151899,0.03632737696170807,0.9830958306789398,0.6041666666666666,6.321706065572376e-05,8.4135369969043e-05,6.063767999876291
xfeat_grid_fine,1,2569101470849,,188.7891649384983,13.322540035005659,328,328,1.0,1.0,209,209,157,0.7511961722488039,0.7083333333333334,0.7908695936203003,130,1,110,0.8461538461538461,0.5448814630508423,0.9521471202373506,0.5208333333333334,0.0032358677702194368,0.0041476802112294835,1.2068040086887777
xfeat_global_fine,1,2569101470849,,77.18225900316611,6.501742987893522,376,375,0.9973404255319149,0.5416666666666666,362,359,295,0.8149171270718232,0.5625,0.8548638820648193,246,1,225,0.9146341463414634,0.39036354422569275,0.7927718877792358,0.3541666666666667,0.02084041480194315,0.003122855094821705,1.1340409982949495
orb_control,1,2569101470849,,12.806494953110814,1.807483029551804,500,499,0.998,0.4166666666666667,353,284,275,0.7790368271954674,0.3958333333333333,0.9420346021652222,259,1,255,0.9845559845559846,0.01531976368278265,0.03127410784363746,0.375,0.0005912215802649338,0.0001080575783906818,0.9235739707946777
orb_slam3_production,1,2569101470849,,247.0763010205701,1.8812930211424828,341,315,0.9237536656891495,0.9583333333333334,169,168,163,0.9644970414201184,0.6666666666666666,0.9501999616622925,131,1,126,0.9618320610687023,0.06856118142604828,0.11403774842619896,0.6041666666666666,0.00010687623903518353,0.000237018920880984,0.9326509898528457
xfeat_sparse_coarse,11,2570181473058,,171.52471403824165,2.477642032317817,414,364,0.8792270531400966,0.7291666666666666,250,220,164,0.656,0.5833333333333334,0.789307713508606,135,1,124,0.9185185185185185,0.086447574198246,1.0197189092636108,0.5625,0.00040677023057999367,0.0003447982045067111,0.7777679711580276
xfeat_grid_fine,11,2570181473058,,191.3624749868177,12.192967988085002,319,318,0.9968652037617555,0.9583333333333334,198,198,148,0.7474747474747475,0.7083333333333334,0.7748581171035767,115,1,115,1.0,0.6046689748764038,1.0165889739990237,0.7083333333333334,0.0009132065108634539,0.003869834656232466,0.7524889660999179
xfeat_global_fine,11,2570181473058,,77.47051905607805,6.278775981627405,382,381,0.9973821989528796,0.5208333333333334,353,352,288,0.8158640226628895,0.5208333333333334,0.8401243686676025,238,1,219,0.9201680672268907,0.3923044800758362,0.7820579171180727,0.3125,0.025395561332481314,0.0029519755086521928,1.1591800139285624
orb_control,11,2570181473058,,13.732094026636332,1.5111230313777924,509,503,0.9882121807465619,0.4166666666666667,344,272,267,0.7761627906976745,0.3541666666666667,0.9457504749298096,244,1,241,0.9877049180327869,0.036992162466049194,0.07791134715080261,0.3541666666666667,0.0020295349015370685,0.00027327550745276353,0.7123369723558426
orb_slam3_production,11,2570181473058,,254.6511239488609,2.025981026235968,341,315,0.9237536656891495,0.9583333333333334,157,156,155,0.9872611464968153,0.7083333333333334,0.9497662782669067,126,1,125,0.9920634920634921,0.04879573732614517,0.08172811269760133,0.7083333333333334,0.0001327064081305674,0.00017618493331487557,0.594812969211489
