frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
0,1785980800116998720,2,605,222,0.366942,0.8125,222,92.744508,9.369690,0,0,0,0,0,0,0.000000,102.114198,106.331764,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1,1785980800206994261,2,605,219,0.361983,0.833333,190,90.480805,8.692637,0,0,0,0,0,0,0.000000,99.173442,125.716530,1,-0.000098,0.000095,-0.000071,0.000123,0.000059,-0.000037,1.000000
2,1785980800296993886,2,606,226,0.372937,0.833333,198,85.260806,8.645137,0,0,0,0,0,0,0.000000,93.905943,119.835436,1,-0.000130,0.000109,-0.000110,0.000115,0.000081,-0.000093,1.000000
3,1785980800386993636,2,605,222,0.366942,0.812500,194,84.119620,8.622178,0,0,0,0,0,0,0.000000,92.741798,117.023890,1,0.000045,0.000123,-0.000000,0.000127,0.000008,0.000013,1.000000
4,1785980800476993136,2,605,225,0.371901,0.833333,185,83.951575,8.539927,0,0,0,0,0,0,0.000000,92.491502,118.569746,1,-0.000224,0.000089,-0.000113,0.000164,0.000132,-0.000123,1.000000
5,1785980800566994886,2,605,213,0.352066,0.833333,184,83.925158,8.474884,0,0,0,0,0,0,0.000000,92.400042,117.030472,1,-0.000132,0.000020,-0.000038,-0.000002,0.000065,-0.000006,1.000000
6,1785980800656995095,2,606,222,0.366337,0.833333,186,83.917783,8.714387,0,0,0,0,0,0,0.000000,92.632170,117.957237,1,0.000002,0.000018,0.000010,0.000016,0.000017,0.000012,1.000000
7,1785980800746995178,2,606,216,0.356436,0.791667,184,87.682885,8.425591,0,0,0,0,0,0,0.000000,96.108476,112.595152,1,-0.000055,0.000114,0.000002,0.000069,0.000033,0.000013,1.000000
8,1785980800836995887,2,605,208,0.343802,0.812500,189,83.891116,8.352632,0,0,0,0,0,0,0.000000,92.243748,110.128405,1,-0.000117,0.000039,-0.000042,0.000075,0.000042,-0.000072,1.000000
9,1785980800926996137,2,605,223,0.368595,0.812500,183,82.591802,8.550885,0,0,0,0,0,0,0.000000,91.142687,108.656754,1,-0.000067,0.000032,0.000008,0.000014,0.000047,-0.000025,1.000000
10,1785980801016995845,2,605,215,0.355372,0.791667,186,83.962657,8.454800,0,0,0,0,0,0,0.000000,92.417457,109.998942,1,-0.000149,-0.000072,-0.000045,-0.000018,0.000093,-0.000085,1.000000
11,1785980801106996345,2,605,227,0.375207,0.791667,187,84.129993,8.884515,0,0,0,0,0,0,0.000000,93.014508,110.623869,1,-0.000172,-0.000078,0.000110,-0.000116,0.000146,-0.000031,1.000000
12,1785980801196997928,2,605,227,0.375207,0.854167,187,83.925448,8.783431,0,0,0,0,0,0,0.000000,92.708879,113.198576,1,-0.000019,-0.000007,0.000056,-0.000015,-0.000006,-0.000015,1.000000
13,1785980801376996553,2,606,222,0.366337,0.791667,183,84.279079,8.505717,0,0,0,0,0,0,0.000000,92.784796,109.993192,1,-0.000155,-0.000107,0.000070,-0.000077,0.000127,-0.000072,1.000000
14,1785980801556997512,2,606,216,0.356436,0.812500,183,88.651897,8.430800,0,0,0,0,0,0,0.000000,97.082697,114.362428,1,-0.000175,-0.000021,-0.000041,0.000049,0.000078,-0.000081,1.000000
15,1785980801646997304,2,605,219,0.361983,0.791667,184,82.793513,8.578801,0,0,0,0,0,0,0.000000,91.372314,110.099817,1,-0.000202,-0.000118,-0.000126,-0.000028,0.000042,-0.000079,1.000000
16,1785980801736999637,2,606,220,0.363036,0.812500,185,82.797428,8.657803,0,0,0,0,0,0,0.000000,91.455231,108.632626,1,-0.000113,-0.000018,-0.000094,0.000051,0.000037,0.000030,1.000000
17,1785980801827000012,2,605,221,0.365289,0.833333,185,84.122407,8.758471,0,0,0,0,0,0,0.000000,92.880878,111.614757,1,0.000022,0.000036,0.000004,0.000029,0.000044,0.000111,1.000000
18,1785980801916999012,2,605,227,0.375207,0.791667,188,82.399338,8.931515,0,0,0,0,0,0,0.000000,91.330853,109.380638,1,-0.000125,-0.000072,0.000060,-0.000050,0.000074,-0.000031,1.000000
19,1785980802007000387,2,605,232,0.383471,0.812500,190,84.316452,8.890265,0,0,0,0,0,0,0.000000,93.206717,109.981813,1,-0.000051,-0.000063,0.000059,-0.000036,0.000061,0.000035,1.000000
20,1785980802096999220,2,605,229,0.378512,0.833333,186,83.991738,8.672428,0,0,0,0,0,0,0.000000,92.664166,110.302111,1,-0.000136,-0.000043,0.000019,-0.000017,0.000082,-0.000028,1.000000
21,1785980802187000762,2,605,230,0.380165,0.854167,192,84.080822,8.853015,0,0,0,0,0,0,0.000000,92.933837,112.323057,1,0.000008,-0.000060,0.000052,-0.000043,0.000032,0.000091,1.000000
22,1785980802277000304,2,605,211,0.348760,0.812500,189,82.750091,8.318923,0,0,0,0,0,0,0.000000,91.069014,109.363177,1,-0.000184,-0.000055,0.000054,-0.000037,0.000100,-0.000109,1.000000
23,1785980802367000804,2,605,225,0.371901,0.812500,187,84.682705,8.864389,0,0,0,0,0,0,0.000000,93.547094,111.427042,1,-0.000036,-0.000102,0.000057,-0.000070,0.000044,0.000084,1.000000
24,1785980802457000554,2,605,234,0.386777,0.854167,185,84.009819,8.854555,0,0,0,0,0,0,0.000000,92.864374,109.279050,1,-0.000013,0.000032,0.000024,0.000015,0.000038,0.000066,1.000000
