frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
0,1785981014857825780,2,604,194,0.321192,0.770833,194,86.779843,65.059778,344,335,14,14,0,295,57.677450,151.839621,155.568181,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1,1785981014947829822,2,606,183,0.301980,0.791667,166,83.384451,61.044842,343,335,12,12,0,301,53.903306,144.429293,169.515417,1,0.000041,0.000123,0.000097,0.000058,-0.000036,0.000073,1.000000
2,1785981015037831697,2,605,197,0.325620,0.770833,157,85.643504,61.179300,359,348,17,17,0,308,53.755264,146.822804,168.114451,1,-0.000037,0.000036,0.000008,0.000071,0.000059,0.000055,1.000000
3,1785981015127832739,2,606,200,0.330033,0.770833,159,81.854569,61.211384,339,333,16,16,0,292,53.711556,143.065953,165.440687,1,-0.000043,0.000033,0.000058,0.000012,0.000033,-0.000212,1.000000
4,1785981015217828864,2,602,208,0.345515,0.812500,155,79.520432,60.852799,338,331,16,16,0,293,53.226636,140.373231,163.948680,1,-0.000049,0.000008,0.000013,-0.000031,-0.000003,-0.000154,1.000000
5,1785981015307830572,2,602,200,0.332226,0.812500,151,80.442603,60.505880,350,341,20,19,1,304,53.296220,140.948483,163.312552,1,-0.000015,0.000032,-0.000129,0.000099,-0.000043,-0.000094,1.000000
6,1785981015397832489,2,602,200,0.332226,0.812500,161,79.367473,60.657798,338,327,14,14,0,292,53.206595,140.025271,162.134254,1,-0.000014,0.000065,-0.000022,0.000126,-0.000043,-0.000071,1.000000
7,1785981015487831447,2,606,199,0.328383,0.791667,151,79.828267,60.671965,342,332,17,17,0,292,53.371637,140.500232,157.002104,1,-0.000015,0.000032,-0.000007,0.000131,0.000042,-0.000036,1.000000
8,1785981015577832281,2,604,211,0.349338,0.812500,158,79.703558,61.778345,353,345,13,13,0,304,53.827598,141.481903,157.589023,1,-0.000085,0.000042,0.000027,0.000014,0.000017,-0.000331,1.000000
9,1785981015667832281,2,602,207,0.343854,0.770833,150,79.592599,60.847173,348,337,17,17,0,299,53.273553,140.439772,153.580045,1,-0.000082,0.000044,-0.000029,0.000091,0.000106,-0.000002,1.000000
10,1785981015757832447,2,606,199,0.328383,0.812500,161,79.631308,60.565339,334,324,14,14,0,290,53.091510,140.196647,155.961265,1,-0.000078,0.000012,0.000159,-0.000090,0.000069,-0.000093,1.000000
11,1785981015847833989,2,604,202,0.334437,0.833333,158,79.578765,60.954257,356,348,15,15,0,310,53.562846,140.533022,153.959505,1,-0.000093,-0.000023,0.000172,-0.000139,0.000192,0.000128,1.000000
12,1785981015937834364,2,604,211,0.349338,0.791667,155,79.780225,61.014050,336,328,14,14,0,292,53.246095,140.794275,153.782796,1,-0.000096,0.000040,0.000096,-0.000053,0.000145,-0.000079,1.000000
13,1785981016027836406,2,604,207,0.342715,0.791667,152,79.512974,61.531551,346,337,11,11,0,301,53.608138,141.044525,154.867843,1,-0.000465,0.000334,0.000357,0.000059,0.000292,-0.000331,1.000000
14,1785981016117834823,2,604,208,0.344371,0.812500,147,81.785942,60.939923,338,329,17,17,0,287,53.367220,142.725865,156.485017,1,-0.000091,0.000038,0.000058,0.000005,0.000047,-0.000163,1.000000
15,1785981016207836114,2,602,200,0.332226,0.750000,146,79.274847,61.110674,364,353,19,19,0,310,53.637305,140.385521,153.213417,1,-0.000021,-0.000002,0.000050,-0.000027,0.000008,-0.000179,1.000000
16,1785981016297835906,2,602,210,0.348837,0.833333,149,79.512015,60.990174,350,342,20,20,0,299,53.447262,140.502189,154.120963,1,-0.000081,0.000007,0.000132,-0.000109,0.000052,-0.000123,1.000000
17,1785981016387838156,2,606,200,0.330033,0.770833,143,83.196241,60.691755,333,325,12,12,0,293,53.106010,143.887996,157.925232,1,-0.000017,0.000024,0.000020,0.000029,0.000110,0.000270,1.000000
18,1785981016477833073,2,602,204,0.338870,0.812500,146,82.968698,60.673506,340,333,12,11,1,303,52.897259,143.642204,155.586387,1,0.000006,0.000011,0.000033,0.000014,0.000065,0.000220,1.000000
19,1785981016567833864,2,602,201,0.333887,0.812500,150,80.376143,60.699964,344,337,16,16,0,299,53.293553,141.076107,154.765924,1,0.000045,-0.000002,0.000204,-0.000064,0.000099,0.000292,1.000000
20,1785981016657833948,2,604,193,0.319536,0.791667,148,80.508353,60.958382,349,340,14,14,0,302,53.557304,141.466735,156.075973,1,-0.000113,0.000038,-0.000050,-0.000004,0.000167,0.000065,1.000000
21,1785981016747835531,2,604,202,0.334437,0.791667,151,79.551640,60.755630,344,336,9,9,0,306,53.078635,140.307270,155.362886,1,-0.000101,0.000125,0.000081,0.000122,0.000227,0.000319,1.000000
22,1785981016837836073,2,604,202,0.334437,0.812500,140,79.963891,61.087091,350,343,14,13,1,306,53.479929,141.050982,155.208343,1,0.000020,-0.000044,0.000271,-0.000152,0.000156,0.000228,1.000000
23,1785981016927837781,2,602,198,0.328904,0.812500,148,81.567899,60.770547,351,344,14,14,0,309,53.372928,142.338446,157.466438,1,-0.000041,0.000002,0.000049,-0.000011,0.000113,0.000163,1.000000
24,1785981017017838698,2,604,200,0.331126,0.791667,151,79.452430,61.237716,360,350,12,12,0,317,53.514554,140.690146,156.729934,1,0.000040,-0.000018,0.000244,-0.000123,0.000092,0.000210,1.000000
