method,frame_index,stamp_ns,orb_tracking_ok,extract_pair_ms,temporal_match_ms,temporal_matches,temporal_ransac_inliers,temporal_ransac_ratio,temporal_coverage,stereo_matches,stereo_geometric_depths,stereo_ncc_depths,stereo_ncc_ratio,stereo_ncc_coverage,stereo_ncc_median,pnp_candidates,pnp_success,pnp_inliers,pnp_inlier_ratio,pnp_reprojection_median_px,pnp_reprojection_p90_px,pnp_grid_coverage,relative_translation_m,relative_rotation_rad,pnp_ms
xfeat_grid16_fine,1,2569101470849,,216.20300598442554,10.735334013588727,294,291,0.9897959183673469,0.9791666666666666,167,167,121,0.7245508982035929,0.7083333333333334,0.7998651266098022,114,1,93,0.8157894736842105,0.5876163840293884,1.0240567922592163,0.5208333333333334,0.004570859178757697,0.0032078465107395894,1.4769069966860116
xfeat_grid16_fine,11,2570181473058,,206.5731519833207,10.390512994490564,303,300,0.9900990099009901,0.9791666666666666,168,168,129,0.7678571428571429,0.7083333333333334,0.7952063083648682,119,1,119,1.0,0.6165630221366882,1.0554302215576172,0.7083333333333334,0.0007551452394383251,0.003758957047379062,1.1421420495025814
xfeat_grid16_fine,21,2571171462517,True,200.84009895799682,10.256579029373825,271,264,0.974169741697417,0.8958333333333334,160,159,118,0.7375,0.7083333333333334,0.7977826595306396,112,1,109,0.9732142857142857,0.49554190039634705,0.9473836064338684,0.6666666666666666,0.0004290593391746628,0.004058496305778984,0.9350949549116194
xfeat_grid16_fine,31,2572161479393,True,205.07166598690674,10.23451198125258,282,276,0.9787234042553191,0.9166666666666666,177,177,125,0.7062146892655368,0.7291666666666666,0.7386970520019531,117,1,100,0.8547008547008547,0.48763200640678406,0.8919429183006288,0.6041666666666666,0.007617149858203589,0.004480760089078239,1.0434020077809691
xfeat_grid16_fine,41,2573241482810,True,203.66738102165982,9.238804981578141,286,281,0.9825174825174825,0.9375,157,157,120,0.7643312101910829,0.7083333333333334,0.8023848533630371,110,1,93,0.8454545454545455,0.5807278156280518,0.9252751350402831,0.5833333333333334,0.001580986698923356,0.0038624195751712142,1.0377459693700075
xfeat_grid16_fine,51,2574231483935,True,205.65698109567165,10.032564052380621,280,277,0.9892857142857143,0.9375,167,166,119,0.7125748502994012,0.6875,0.7711011171340942,111,1,105,0.9459459459459459,0.49794963002204895,0.8863327980041507,0.625,0.00174695386765732,0.003922232148436125,0.7410370162688196
xfeat_grid16_fine,61,2575221484144,True,204.5562490238808,10.057283041533083,280,277,0.9892857142857143,0.9375,176,174,123,0.6988636363636364,0.6875,0.7642397284507751,115,1,104,0.9043478260869565,0.5825751423835754,0.962823885679245,0.6041666666666666,0.004254394705790943,0.004173500235445077,0.8663820335641503
xfeat_grid16_fine,71,2576301492853,True,205.0105629605241,10.298127948772162,284,282,0.9929577464788732,0.9166666666666666,160,159,115,0.71875,0.7083333333333334,0.7719122767448425,110,1,95,0.8636363636363636,0.5983275771141052,1.0079135656356815,0.5833333333333334,0.005759040258135733,0.0051397428765618605,0.9193840087391436
xfeat_grid16_fine,81,2577291484020,True,200.49374201335013,10.02977101597935,277,274,0.9891696750902527,0.9375,167,165,121,0.7245508982035929,0.6875,0.7876214981079102,111,1,98,0.8828828828828829,0.5706473588943481,0.9369659006595611,0.625,0.0015619874723544118,0.004004634752759239,0.8186879567801952
xfeat_grid16_fine,91,2578281501270,True,206.6050649737008,10.406015964690596,283,281,0.9929328621908127,0.9166666666666666,166,165,120,0.7228915662650602,0.7083333333333334,0.7950910329818726,113,1,109,0.9646017699115044,0.5376448035240173,0.9121839404106141,0.7083333333333334,0.00029751583859767897,0.0040892996930795835,0.905068009160459
